redump_name,serial
"Die Hard - Vendetta (Germany) (En,De)",VV-041
Digimon Battle Chronicle (Japan),BA-001
"Digimon Rumble Arena 2 (Europe) (En,Fr,De,Es,It)",BA-001
Digimon Rumble Arena 2 (USA),BA-001
Digimon World 4 (USA),BA-002
Digimon World X (Japan),BA-002
"Dino Crisis 3 (Europe) (En,Fr,De,Es,It)",CC-003
Dino Crisis 3 (Japan),CC-003
"Dino Crisis 3 (USA, Korea)",CC-003
Dinosaur Hunting - Ushinawareta Daichi (Japan),MS-105
"Dinotopia - The Sunstone Odyssey (Europe) (En,Fr)",TM-015
Dinotopia - The Sunstone Odyssey (USA),TM-015
Disney-Pixar Cars (Europe),TQ-242
Disney-Pixar Cars (France),TQ-242
Disney-Pixar Cars (Germany),TQ-242
Disney-Pixar Cars (USA),TQ-242
Disney-Pixar Die Unglaublichen (Germany),TQ-040
Disney-Pixar Finding Nemo (Europe),TQ-030
"Disney-Pixar Finding Nemo (Europe) (Fr,De,Es,It)",TQ-030
"Disney-Pixar Finding Nemo (Scandinavia) (Sv,No,Da,Fi)",TQ-030
Disney-Pixar Finding Nemo (USA),TQ-030
Disney-Pixar Gli Incredibili (Italy),TQ-040
Disney-Pixar Los Increibles (Spain),TQ-040
Disney-Pixar Mr. Incredible (Japan),TQ-040
Disney-Pixar Nemo-reul Chajaseo (Korea),TQ-030
Disney-Pixar Ratatouille (USA),TQ-265
"Disney-Pixar The Incredibles - Rise of the Underminer (Europe) (En,Fr,De,Es,It)",TQ-246
Disney-Pixar The Incredibles - Rise of the Underminer (USA),TQ-246
Disney-Pixar The Incredibles (Europe),TQ-040
"Disney-Pixar The Incredibles (Europe) (Fr,Nl)",TQ-040
Disney-Pixar The Incredibles (Scandinavia),TQ-040
Disney-Pixar The Incredibles (USA),TQ-040
Disney's Chicken Little (France),BV-002
"Disney's Chicken Little (USA, Europe)",BV-002
Disney's Extreme Skate Adventure (Europe),AV-039
"Disney's Extreme Skate Adventure (Europe) (Fr,De)",AV-039
Disney's Extreme Skate Adventure (USA),AV-039
Disneys Himmel und Huhn (Germany),BV-002
"Disney's The Haunted Mansion (Europe) (En,Fr,De,Es,It)",TM-013
Disney's The Haunted Mansion (UK),TM-013
Disney's The Haunted Mansion (USA),TM-013
"Doom 3 - Resurrection of Evil (USA, Europe) (En,Fr,Es,It)",AV-078
"Doom 3 (Europe) (En,Fr,Es,It)",AV-032
"Doom 3 (Europe) (En,Fr,Es,It) (Limited Collector's Edition)",AV-032
"Doom 3 (USA, Asia)",AV-032
"Doom 3 (USA, Asia) (Limited Collector's Edition)",AV-032
"Double-S.T.E.A.L - The Second Clash (Japan) (En,Ja)",BU-004
Double-S.T.E.A.L (Japan),BU-001
Double-S.T.E.A.L (Japan) (Demo 1),BU-002
Double-S.T.E.A.L (Japan) (Demo 2),BU-001
"Dr. Muto (Europe) (En,Fr,De,Es,It)",MW-017
Dr. Muto (USA),MW-017
"Dr. Seuss' The Cat in the Hat (USA, Japan)",VU-040
Dragon Ball Z - Sagas (USA),IG-122
"Dragon's Lair 3D - Return to the Lair (Europe) (En,Fr,De,Es,It)",US-018
Dragon's Lair 3D - Return to the Lair (USA),US-018
Drake of the 99 Dragons (USA),MJ-011
"Dreamfall - The Longest Journey (Europe) (En,Fr,De)",MX-001
Dreamfall - The Longest Journey (USA),AY-004
"DreamWorks Madagascar (Europe) (Fr,De,Es,Nl)",AV-059
DreamWorks Madagascar (Italy),AV-059
"DreamWorks Madagascar (USA, Europe)",AV-059
"DreamWorks Over the Hedge (Europe) (Fr,De)",AV-088
"DreamWorks Over the Hedge (USA, Europe)",AV-088
DreamWorks Shark Tale - Hajar som Hajar (Sweden),AV-056
"DreamWorks Shark Tale (Europe) (Fr,De)",AV-056
DreamWorks Shark Tale (Italy),AV-056
"DreamWorks Shark Tale (USA, Europe)",AV-056
"DreamWorks Shrek - SuperSlam (Europe) (Fr,De,Es,It,Nl)",AV-072
"DreamWorks Shrek - SuperSlam (USA, Europe)",AV-072
Drihoo (Japan),HW-001
"Driv3r (USA, Europe) (En,Fr,De,Es,It)",IG-056
"Driver - Parallel Lines (USA, Europe) (En,Fr,De,Es,It)",IG-127
"DTM Race Driver - Director's Cut (Europe) (En,Fr,De)",CM-002
"DTM Race Driver 2 - Ultimate Racing Simulator (Europe) (En,Fr,De,Es,It)",CM-017
"DTM Race Driver 3 (Europe) (En,Fr,De,Es,It)",CM-080
"DTM Race Driver Live (Europe) (En,Fr,De)",CM-014
"Dukes of Hazzard, The - Return of the General Lee (USA, Europe) (En,Fr,Es)",US-058
Dungeons & Dragons - Heroes (Europe),IG-019
Dungeons & Dragons - Heroes (France),IG-019
Dungeons & Dragons - Heroes (Italy),IG-019
Dungeons & Dragons - Heroes (Spain),IG-019
Dungeons & Dragons - Heroes (USA),IG-019
"Dynasty Warriors 3 (Europe) (En,Ja,Fr,De)",KO-003
Dynasty Warriors 3 (USA),KO-003
"Dynasty Warriors 4 (Europe) (En,Es,It)",KO-004
"Dynasty Warriors 4 (Europe) (Fr,De)",KO-004
Dynasty Warriors 4 (USA),KO-004
Dynasty Warriors 5 (Europe),KO-007
"Dynasty Warriors 5 (Europe) (Fr,De)",KO-007
"Dynasty Warriors 5 (USA) (En,Ja)",KO-007
"Ed, Edd n Eddy - The Mis-Edventures (USA) (En,Fr)",MW-050
Egg Mania - Eggstreme Madness (USA),KB-002
Egg Mania - Tsukande! Mawashite! Dossun Puzzle!! (Japan),KB-002
"Eggo Mania (Europe) (En,Fr,De)",KB-002
"Elder Scrolls III, The - Morrowind - Game of the Year Edition (Europe) (En,Fr,De)",BS-005
"Elder Scrolls III, The - Morrowind - Game of the Year Edition (Europe) (En,Fr,De) (Rev 1)",BS-005
"Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA)",BS-005
"Elder Scrolls III, The - Morrowind (Europe) (En,Fr,De)",US-021
"Elder Scrolls III, The - Morrowind (USA)",BS-001
"Enclave (Europe) (En,Fr,De)",SW-001
"Enclave (Germany) (En,Fr,De)",SW-001
"Enclave (USA) (En,Fr,De)",VU-014
England International Football - 2004 Edition (Europe),CM-040
"Enter the Matrix (Europe) (En,Fr,De,Es,It)",IG-034
Enter the Matrix (Japan),IG-034
Enter the Matrix (Korea),IG-034
Enter the Matrix (USA),IG-034
Enter the Matrix (USA) (Rev 1),IG-034
"Entraineur 5, L' - Saison 04-05 (France)",ES-026
"Eragon (USA, Europe)",VU-067
ESPN College Hoops (USA),SE-036
ESPN College Hoops 2K5 (USA),SE-051
"ESPN International Winter Sports (Europe) (En,Fr,De,It)",KN-011
ESPN International Winter Sports 2002 (USA),KN-011
ESPN Major League Baseball (USA),SE-040
ESPN MLS ExtraTime 2002 (USA),KN-005
ESPN NBA 2K5 (Europe),SE-128
ESPN NBA 2K5 (USA),SE-049
ESPN NBA 2Night 2002 (Japan),KN-006
ESPN NBA 2Night 2002 (USA),KN-006
ESPN NBA Basketball (Europe),SE-046
ESPN NBA Basketball (USA),SE-035
ESPN NFL 2K5 (Europe),SE-048
ESPN NFL 2K5 (USA),SE-048
ESPN NFL Football (Europe),SE-044
ESPN NFL Football (USA),SE-034
ESPN NFL PrimeTime 2002 (USA),KN-003
ESPN NHL 2K5 (Europe),SE-050
ESPN NHL 2K5 (USA),SE-050
ESPN NHL Hockey (Europe),SE-045
ESPN NHL Hockey (USA),SE-038
ESPN Winter X Games Snowboarding 2002 (Japan),KN-009
Evil Dead - A Fistful of Boomstick (Germany),TQ-011
"Evil Dead - A Fistful of Boomstick (USA, Europe)",TQ-011
Evil Dead - Regeneration (Europe),TQ-037
Evil Dead - Regeneration (USA),TQ-037
Evil Dead - Regeneration (USA) (Beta) (2005-08-11),
Exaskeleton (Japan),KK-003
Ex-Chaser (Japan),IF-001
F1 2001 (USA),EA-007
"F1 2002 (Europe) (En,Fr,De,It)",EA-020
F1 2002 (Japan),EA-020
"F1 Career Challenge (Europe) (En,Fr,De,It)",EA-050
"Fable - The Lost Chapters (Europe) (En,Fr)",MS-209
"Fable - The Lost Chapters (Germany) (En,De)",MS-209
"Fable - The Lost Chapters (Italy) (En,It)",MS-209
"Fable - The Lost Chapters (Spain) (En,Es)",MS-209
"Fable - The Lost Chapters (USA) (En,Es)",MS-209
Fable (Asia),MS-013
"Fable (Europe) (En,Es,It)",MS-013
"Fable (Europe) (En,Fr,De)",MS-013
"Fable (Japan) (En,Ja)",MS-013
Fable (USA) (Limited Edition Bonus DVD),MS-128
"Fable (USA, Europe)",MS-013
"Fahrenheit (Europe) (En,Fr,De,Es,It)",IG-123
"Fairly OddParents, The - Breakin' da Rules (USA)",TQ-032
"Fallout - Brotherhood of Steel (Europe) (En,Es,It)",IP-008
"Fallout - Brotherhood of Steel (Europe) (En,Fr,De)",IP-008
Fallout - Brotherhood of Steel (USA),IP-008
"Family Guy - Video Game! (USA, Europe)",TT-176
"Fantastic 4 (Europe) (De,Nl)",AV-026
"Fantastic 4 (Europe) (Fr,Es)",AV-026
"Fantastic 4 (USA, Europe)",AV-026
"Fantastici 4, I (Italy)",AV-026
"Far Cry Instincts - Evolution (USA, Europe) (En,Fr,De,Es,It)",US-096
Far Cry Instincts (Germany),US-008
"Far Cry Instincts (USA, Europe) (Demo)",US-008
"Far Cry Instincts (USA, Europe) (En,Fr,Es,It)",US-008
Fatal Frame - Zero (Asia),TC-004
Fatal Frame - Zero Special Edition (Japan),TC-004
Fatal Frame (Latin America),TC-004
Fatal Frame (USA),TC-004
Fatal Frame II - Crimson Butterfly - Director's Cut (USA),TC-010
Fatal Frame II - Crimson Butterfly (Japan),TC-010
FIFA 06 (Europe),EA-120
FIFA 06 (Europe) (Demo),EA-143
"FIFA 06 (Europe) (En,Nl,Sv,No,Da,El)",EA-120
"FIFA 06 (Europe) (Fr,De)",EA-120
FIFA 06 (Italy),EA-120
FIFA 06 (Spain),EA-120
FIFA 07 (Europe),EA-166
"FIFA 07 (Europe) (Fr,De)",EA-166
FIFA 07 (Sweden),EA-166
"FIFA Football 2003 (Europe) (En,Fr,De,Es,It)",EA-023
FIFA Football 2004 (Europe),EA-059
FIFA Football 2004 (France),EA-059
FIFA Football 2004 (Germany),EA-059
FIFA Football 2004 (Italy),EA-059
FIFA Football 2004 (Spain),EA-059
FIFA Football 2005 (Europe),EA-078
FIFA Football 2005 (Europe) (Demo),EA-106
"FIFA Football 2005 (Europe) (En,Nl,Sv,No,Da,El)",EA-078
"FIFA Football 2005 (Europe) (Fr,De)",EA-078
FIFA Football 2005 (Italy),EA-078
FIFA Football 2005 (Spain),EA-078
FIFA Soccer 06 (USA),EA-120
"FIFA Soccer 07 (USA) (En,Es)",EA-166
FIFA Soccer 2003 (Korea),EA-023
FIFA Soccer 2003 (USA),EA-023
FIFA Soccer 2004 (USA),EA-059
FIFA Soccer 2005 (Asia),EA-078
FIFA Soccer 2005 (USA),EA-078
"FIFA Street (Europe) (En,Fr,De)",EA-114
FIFA Street (USA),EA-114
FIFA Street 2 (Europe),EA-133
"FIFA Street 2 (Europe) (En,Fr,De,Nl)",EA-133
"FIFA Street 2 (USA) (En,Es)",EA-133
FIFA World Cup Germany 2006 (Europe),EA-156
"FIFA World Cup Germany 2006 (Europe) (Es,It)",EA-156
"FIFA World Cup Germany 2006 (Europe) (Fr,De)",EA-156
FIFA World Cup Germany 2006 (USA),EA-156
"Fight Club (USA, Europe)",VU-047
"Fight Night 2004 (Europe) (En,Fr,De)",EA-075
Fight Night 2004 (USA),EA-075
"Fight Night Round 2 (Europe) (En,Fr,De)",EA-085
Fight Night Round 2 (USA),EA-085
"Fight Night Round 3 (Europe) (En,Fr)",EA-134
Fight Night Round 3 (USA),EA-134
FILA World Tour Tennis (Europe),TQ-009
"Final Fight - Streetwise (Europe) (En,Fr,De,Es,It)",CC-019
Final Fight - Streetwise (USA),CC-019
"FireBlade (Europe) (En,Fr,De,Es,It)",MW-018
FireBlade (USA),MW-018
"FlatOut (Europe) (En,Fr,Es,It)",EM-009
FlatOut (Germany),EM-009
FlatOut (USA),EM-009
FlatOut (USA) (Beta),
FlatOut 2 (Germany),EM-032
"FlatOut 2 (USA, Europe) (Beta) (2006-04-04)",
"FlatOut 2 (USA, Europe) (En,Fr,De,Es,It)",EM-032
Flight Academy (Japan),AQ-002
Football Manager Campionato 2003 (Italy),CM-004
Football Manager Campionato 2004 (Italy),CM-015
Football Manager Campionato 2005 (Italy),CM-076
"Ford Mustang - The Legend Lives (Europe) (En,Fr,De,Es)",TT-119
Ford Mustang - The Legend Lives (USA),TT-119
"Ford Racing 2 (Europe) (En,Fr,De,Es,It)",EM-007
Ford Racing 2 (USA),EM-007
"Ford Racing 3 (Europe) (En,Fr,De,Es,It)",EM-013
Ford Racing 3 (USA),EM-013
"Ford Street Racing (USA, Europe) (En,Fr,De,Es,It)",EM-031
Ford vs. Chevy (USA),TT-137
"Forgotten Realms - Demon Stone (Europe) (En,Fr,De,Es,It)",IG-116
Forgotten Realms - Demon Stone (USA),IG-116
"Forza Motorsport (USA, Europe) (Demo)",MS-110
"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-110
"Forza Motorsport + Xbox Live Arcade (USA) (En,Ja,Fr,De,Es,It,Zh,Ko)",XL-020
Frankie Dettori Racing (Europe),HE-004
Freaky Flyers (Europe),MW-007
Freaky Flyers (USA),MW-007
"Freaky Flyers (USA, Europe) (Beta) (2003-05-28)",
Freedom Fighters (Asia),EA-046
Freedom Fighters (Europe),EA-042
Freedom Fighters (Europe) (Beta) (2003-07-24),
Freedom Fighters (France),EA-042
Freedom Fighters (Germany),EA-042
Freedom Fighters (Italy),EA-042
Freedom Fighters (Spain),EA-042
Freedom Fighters (USA),EA-046
"Freestyle Metal X (Europe) (En,Fr,De,Es,It)",MW-023
Freestyle Metal X (USA),MW-023
Freestyle Street Soccer (Korea),AC-012
Freestyle Street Soccer (USA),AC-012
Frogger - Ancient Shadow (USA),KN-044
Frogger Beyond (USA),KN-019
"Full Spectrum Warrior - Ten Hammers (Europe) (En,Fr,De,It)",TQ-248
Full Spectrum Warrior - Ten Hammers (Germany),TQ-248
Full Spectrum Warrior - Ten Hammers (USA),TQ-248
Full Spectrum Warrior - Ten Hammers (USA) (Demo),TQ-258
"Full Spectrum Warrior (Europe) (En,Fr,De,Es,It)",TQ-034
"Full Spectrum Warrior (Europe) (En,Fr,De,Es,It) (Rev 1)",TQ-034
"Full Spectrum Warrior (Japan, Korea) (En,Ja,Ko)",TQ-034
Full Spectrum Warrior (USA),TQ-034
"Furious Karting (Europe) (En,Fr,De,Es,It)",IG-011
Furious Karting (USA),IG-011
"Futurama (Europe) (En,Fr,De,Es,It)",FI-002
Futurama (USA),VU-008
"Future Tactics - The Uprising (Europe) (En,Fr,De,Es,It)",CV-007
Future Tactics - The Uprising (USA),CV-007
"Fuzion Frenzy (Europe) (En,Fr,De,Es,It)",MS-002
Fuzion Frenzy (USA),MS-002
Galaxy Angel (Japan),BR-001
"Galleon (Europe) (En,Fr,De)",SC-011
Galleon (USA),AT-004
"Gauntlet - Dark Legacy (Europe) (En,Fr,De)",MW-014
Gauntlet - Dark Legacy (USA),MW-014
"Gauntlet - Seven Sorrows (Europe) (En,Fr,De,Es,It)",MW-051
Gauntlet - Seven Sorrows (USA),MW-034
"Gene Troopers (Europe) (En,Fr,De,Es,It)",TM-017
"Genma Onimusha (Europe) (En,Fr,De)",CC-001
Genma Onimusha (Japan) (Demo 2),CC-001
"Genma Onimusha (Japan) (En,Ja)",CC-001
"Genma Onimusha (Japan) (En,Ja) (Demo 1)",CC-006
"Genma Onimusha (USA) (En,Ja)",CC-001
"Ghost Master - The Gravenville Chronicles (Europe) (En,Fr,De,Es,It)",EM-004
Gladiator - Schwert der Rache (Germany),AC-026
"Gladiator - Sword of Vengeance (Europe) (En,Fr,De,Es,It)",AC-026
Gladiator - Sword of Vengeance (Korea),AC-026
Gladiator - Sword of Vengeance (USA),AC-026
"Gladius (Europe) (En,Es,It)",LA-008
Gladius (France),LA-008
Gladius (Germany),LA-008
Gladius (USA),LA-008
"Goblin Commander - Unleash the Horde (Europe) (En,Fr,De)",JA-005
Goblin Commander - Unleash the Horde (USA),JA-005
"Godfather, The - The Game (USA)",EA-125
"Godfather, The (Europe) (En,Nl,Sv,Da)",EA-125
"Godzilla - Destroy All Monsters Melee (USA, Europe) (En,Fr,De,Es,It)",IG-057
"Godzilla - Save the Earth (USA, Europe)",IG-115
GoldenEye - Agente Corrupto (Spain),EA-093
GoldenEye - Au Service du Mal (France),EA-093
"GoldenEye - Rogue Agent (Europe) (En,It,Nl,Sv)",EA-093
GoldenEye - Rogue Agent (Germany),EA-093
GoldenEye - Rogue Agent (USA),EA-093
"Gotcha! (Europe) (En,Fr,De)",TT-126
"Grabbed by the Ghoulies (Europe, Australia) (En,Fr,De,Es,It)",MS-083
"Grabbed by the Ghoulies (Japan, Asia) (En,Ja,Zh,Ko)",MS-083
"Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It)",MS-083
"Grand Theft Auto - San Andreas (Europe) (En,Fr,De,Es,It)",TT-134
"Grand Theft Auto - San Andreas (Europe) (En,Fr,De,Es,It) (Rev 1)",TT-164
"Grand Theft Auto - San Andreas (Germany) (En,De)",TT-149
Grand Theft Auto - San Andreas (Germany) (Rev 1),TT-165
"Grand Theft Auto - San Andreas (USA) (En,Es)",TT-130
"Grand Theft Auto - San Andreas (USA) (En,Es) (Rev 1)",TT-163
Grand Theft Auto - Vice City (Australia),TT-015
Grand Theft Auto - Vice City (Australia) (Rev 1),TT-115
"Grand Theft Auto - Vice City (Europe) (En,Fr,Es,It)",TT-015
"Grand Theft Auto - Vice City (Europe) (En,Fr,Es,It) (Rev 1)",TT-115
Grand Theft Auto - Vice City (Germany),TT-015
Grand Theft Auto - Vice City (Japan) (Rev 1),TT-115
Grand Theft Auto - Vice City (USA),TT-015
Grand Theft Auto - Vice City (USA) (Rev 1),TT-115
Grand Theft Auto III (Australia),TT-014
"Grand Theft Auto III (Europe) (En,Fr,De,Es,It)",TT-014
Grand Theft Auto III (Germany),TT-014
Grand Theft Auto III (Japan),TT-014
Grand Theft Auto III (USA),TT-014
"Gravity Games Bike - Street. Vert. Dirt. (Europe) (En,Fr,De,Es,It)",MW-013
Gravity Games Bike - Street. Vert. Dirt. (USA),MW-013
"Great Escape, The (Asia)",SC-003
"Great Escape, The (Europe) (En,Fr,De,Es,It)",SC-003
"Great Escape, The (USA)",SC-003
"Greg Hastings' Tournament Paintball (USA, Europe)",AV-066
"Greg Hastings' Tournament Paintball Max'd (USA, Europe)",AV-087
Grooverider - Slot Car Thunder (USA),EC-002
"Group S Challenge (Europe) (En,Fr,De,Es,It,Nl)",CC-005
Group S Challenge (USA),CC-005
Gui Yi (Taiwan),XP-001
Guilty Gear Isuka (Japan),AW-001
Guilty Gear X2 Reload - The Midnight Carnival (Europe),SA-006
Guilty Gear X2 Reload - The Midnight Carnival (USA),SA-002
Guilty Gear XX Reload - The Midnight Carnival (Japan),SA-002
Gun (Germany),AV-075
"Gun (USA, Europe) (En,Fr,Es,It)",AV-075
"Gun Valkyrie (Europe) (En,Fr,De,Es,It)",IG-023
Gun Valkyrie (Japan) (Demo),SE-011
"Gun Valkyrie (Japan) (En,Ja)",SE-011
"Gun Valkyrie (USA) (En,Ja)",SE-011
"Gungriffon - Allied Strike (Europe) (En,Fr,De,Es,It)",TC-012
"Gungriffon - Allied Strike (USA, Japan) (En,Ja,Ko)",TC-009
"Gunmetal (Europe) (En,Fr,De,Es,It)",RA-008
Gunmetal (USA),MJ-003
"Guy Game, The (USA)",TT-123
"Half-Life 2 (USA, Europe) (En,Fr,De,Es,It)",EA-145
"Halo - Combat Evolved (Asia) (En,Zh)",MS-087
Halo - Combat Evolved (Europe),MS-004
"Halo - Combat Evolved (Europe) (Es,It)",MS-004
"Halo - Combat Evolved (Europe) (Fr,De)",MS-004
Halo - Combat Evolved (USA),MS-004
Halo - Combat Evolved (USA) (Rev 1),MS-004
Halo - Combat Evolved (USA) (Rev 2),MS-004
"Halo - Jeonjaengui Seomak (Korea) (En,Ko)",MS-088
Halo (Japan),MS-004
"Halo 2 (Asia) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (France) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (Germany) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (Italy) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (Japan) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (Korea) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 (Spain) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
Halo 2 (USA) (Multiplayer Alpha) (2004-01-15),MS-115
Halo 2 (USA) (Multiplayer Beta) (2004-07-03),MS-130
"Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-100
"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko)",MS-205
Halo Movies (Japan),MS-004
Harry Potter - Quidditch World Cup (Asia),EA-061
"Harry Potter - Quidditch World Cup (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-061
"Harry Potter - Quidditch World Cup (USA) (En,Fr,Es)",EA-061
"Harry Potter and the Chamber of Secrets (Asia) (En,Fr,De,Es,It)",EA-014
"Harry Potter and the Chamber of Secrets (Europe) (En,Fr,De,Es,It)",EA-014
Harry Potter and the Chamber of Secrets (USA),EA-014
"Harry Potter and the Goblet of Fire (Europe) (En,Nl,Sv,No,Fi)",EA-119
"Harry Potter and the Goblet of Fire (Europe) (Fr,De,Es,It)",EA-119
Harry Potter and the Goblet of Fire (USA),EA-119
"Harry Potter and the Philosopher's Stone (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-055
"Harry Potter and the Prisoner of Azkaban (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-076
Harry Potter and the Prisoner of Azkaban (USA),EA-076
"Harry Potter and the Sorcerer's Stone (USA) (En,Es)",EA-055
"Headhunter - Redemption (USA, Europe) (En,Fr,De,Es,It)",SE-037
"Hello Kitty - Mission Rescue (Asia) (En,Ja,Zh)",XP-004
"Hello Kitty - Roller Rescue (Europe) (En,Fr,De,Es,It)",XP-004
"Heroes of the Pacific (Europe) (En,Fr,De,Es,It)",EC-004
Heroes of the Pacific (USA),EC-004
"Herr der Ringe, Der - Das dritte Zeitalter (Germany)",EA-095
"Herr der Ringe, Der - Die Rueckkehr des Koenigs (Germany)",EA-062
High Heat Major League Baseball 2004 (USA),TD-006
High Rollers Casino (USA),BS-015
Hitman - Blood Money (France),SC-250
Hitman - Blood Money (Germany),SC-250
"Hitman - Blood Money (USA, Europe)",SC-250
Hitman - Contracts (Europe),ES-018
Hitman - Contracts (France),ES-018
Hitman - Contracts (Germany),ES-018
Hitman - Contracts (Italy),ES-018
Hitman - Contracts (Japan),ES-018
Hitman - Contracts (Spain),ES-018
Hitman - Contracts (USA),ES-018
Hitman - Silent Assassin (Japan),ES-009
Hitman 2 - Silent Assassin (Europe),ES-009
Hitman 2 - Silent Assassin (Europe) (Rev 1),ES-009
Hitman 2 - Silent Assassin (France),ES-009
Hitman 2 - Silent Assassin (France) (Rev 1),ES-009
Hitman 2 - Silent Assassin (Germany),ES-009
Hitman 2 - Silent Assassin (Germany) (Rev 1),ES-009
Hitman 2 - Silent Assassin (Italy),ES-009
Hitman 2 - Silent Assassin (Italy) (Rev 1),ES-009
Hitman 2 - Silent Assassin (USA),ES-009
Hitman 2 - Silent Assassin (USA) (Rev 2),ES-009
"Hitman 2 - Silent Assassin (USA, Asia) (Rev 1)",ES-009
"Hobbit, The - The Prelude to the Lord of the Rings (Europe) (En,Fr,De,Es,It)",VU-035
"Hobbit, The - The Prelude to the Lord of the Rings (USA, Asia)",VU-035
Hot Wheels - Stunt Track Challenge (Europe),TQ-137
Hot Wheels - Stunt Track Challenge (USA),TQ-137
"House of the Dead III, The (Europe) (En,Fr,De,Es,It)",SE-008
"House of the Dead III, The (Japan)",SE-008
"House of the Dead III, The (USA)",SE-008
Hulk (Asia),VU-017
"Hulk (Europe) (En,Fr,De,Es,It)",VV-008
Hulk (USA),VU-017
Hummer Badlands (USA),TT-156
"Hunter - The Reckoning - Redeemer (Europe) (En,Fr,De,Es,It)",VU-045
Hunter - The Reckoning - Redeemer (USA),VU-045
Hunter - The Reckoning (Asia),VU-007
"Hunter - The Reckoning (Europe) (En,Fr,De,Es,It)",VN-004
"Hunter - The Reckoning (Europe) (En,Fr,De,Es,It) (Rerelease)",VN-004
Hunter - The Reckoning (USA),VU-007
"Hustle, The - Detroit Streets (USA)",AV-091
Hyper Sports 2002 Winter (Japan),KN-010
"Ice Age 2 - The Meltdown (Europe) (En,De,Es,It,Nl)",VU-075
Ice Age 2 - The Meltdown (USA),VU-075
IHRA Drag Racing - Sportsman Edition (USA),BS-017
IHRA Drag Racing 2004 (USA),BS-006
IHRA Professional Drag Racing 2005 (USA),BS-012
"Incredible Hulk, The - Ultimate Destruction (Europe) (En,Fr,Es,It)",VU-057
"Incredible Hulk, The - Ultimate Destruction (USA) (Demo)",VU-057
"Incredible Hulk, The - Ultimate Destruction (USA, Asia)",VU-057
"Indiana Jones and the Emperor's Tomb (Europe) (En,Fr,De,Es,It)",LA-007
Indiana Jones and the Emperor's Tomb (USA),LA-007
Indigo Prophecy (USA),IG-123
"IndyCar Series (Europe) (En,Fr,De,Es,It)",CM-006
IndyCar Series (USA),CM-006
"IndyCar Series 2005 (Europe) (En,Fr,De,Es,It)",CM-036
IndyCar Series 2005 (USA),CM-036
I-Ninja (USA),NM-015
I-Ninja (USA) (Beta) (2003-10-05),
Innocent Tears (Japan),KU-001
Inside Pitch 2003 (Japan),MS-052
Inside Pitch 2003 (USA),MS-052
Intellivision Lives! (USA),CV-006
"International Superstar Soccer 2 (Europe) (En,Fr,De,Es,It)",KN-008
Iron Phoenix (USA),SA-003
"Italian Job, The (Europe) (En,Fr,De,Es,It)",ES-014
"Italian Job, The (USA)",ES-014
"Jacked (Europe) (En,Fr,De,Es,It)",EM-030
Jade Empire - Hisui no Teikoku (Japan),MS-109
Jade Empire (France),MS-109
Jade Empire (Germany),MS-109
"Jade Empire (Korea) (En,Zh,Ko)",MS-109
"Jade Empire (Korea) (En,Zh,Ko) (Bonus Disc)",MS-133
"Jade Empire (USA, Europe) (En,Es,It)",MS-109
"Jade Empire (USA, Europe) (En,Fr,De,Es,It) (Bonus Disc)",MS-133
"James Cameron's Dark Angel (Europe) (En,Fr,De)",VV-016
James Cameron's Dark Angel (USA),VU-020
"Jaws Unleashed (Europe) (En,Fr,De,Es,It)",MJ-015
Jaws Unleashed (USA),MJ-015
Jikkyou World Soccer 2002 (Japan),KA-001
Jockey's Road (Japan),MS-048
"JSRF - Jet Set Radio Future (Europe) (En,Fr,De,Es,It)",IG-024
JSRF - Jet Set Radio Future (Japan),SE-010
JSRF - Jet Set Radio Future (Japan) (Demo 1),SE-022
JSRF - Jet Set Radio Future (Japan) (Demo 2),SE-010
JSRF - Jet Set Radio Future (USA),SE-010
"Judge Dredd - Dredd vs. Death (Europe) (En,Fr,Es,It)",VV-013
"Judge Dredd - Dredd vs. Death (Germany) (En,De)",VV-013
Judge Dredd - Dredd vs. Death (USA),XI-007
"Juiced (Europe) (En,Fr,De,Es,It) (Demo)",TQ-243
"Juiced (USA, Europe) (En,Fr,De,Es,It)",TQ-239
"Jurassic Park - Operation Genesis (Europe) (En,Fr,De,Es,It)",VV-010
Jurassic Park - Operation Genesis (USA),VU-033
"Just Cause (USA, Europe) (En,Fr,De)",SC-251
"Justice League Heroes (USA, Europe)",WR-001
