redump_name,serial,name,localizedName
Dengeki PlayStation D13 (Japan),SLPM-80362,Dengeki PlayStation D13,
Dengeki PlayStation D14 (Japan),SLPM-80331,Dengeki PlayStation D14,
Dengeki PlayStation D15 (Japan),SLPM-80388,Dengeki PlayStation D15,
Dengeki PlayStation D16 (Japan),SLPM-80399,Dengeki PlayStation D16,
Dengeki PlayStation D17 (Japan),SLPM-80418,Dengeki PlayStation D17,
Dengeki PlayStation D18 (Japan),SLPM-80412,Dengeki PlayStation D18,
Dengeki PlayStation D19 (Japan),SLPM-80425,Dengeki PlayStation D19,
Dengeki PlayStation D2 (Japan),SLPM-80109,Dengeki PlayStation D2,
Dengeki PlayStation D20 (Japan),SLPM-80438,Dengeki PlayStation D20,
Dengeki PlayStation D21 (Japan),SLPM-80457,Dengeki PlayStation D21,
Dengeki PlayStation D21 SCE Special (Japan),PCPX-96159,Dengeki PlayStation D21 SCE Special,
Dengeki PlayStation D22 (Japan),SLPM-80471,Dengeki PlayStation D22,
Dengeki PlayStation D23 (Japan),SLPM-80481,Dengeki PlayStation D23,
Dengeki PlayStation D24 (Japan),SLPM-80496,Dengeki PlayStation D24,
Dengeki PlayStation D25 (Japan),SLPM-80497,Dengeki PlayStation D25,
Dengeki PlayStation D26 (Japan),SLPM-80505,Dengeki PlayStation D26,
Dengeki PlayStation D27 (Japan),SLPM-80516,Dengeki PlayStation D27,
Dengeki PlayStation D28 (Japan),SLPM-80526,Dengeki PlayStation D28,
Dengeki PlayStation D29 (Japan),SLPM-80545,Dengeki PlayStation D29,
Dengeki PlayStation D3 (Japan),SLPM-80130,Dengeki PlayStation D3,
Dengeki PlayStation D30 (Japan),SLPM-80547,Dengeki PlayStation D30,
Dengeki PlayStation D31 (Japan),SLPM-80555,Dengeki PlayStation D31,
Dengeki PlayStation D32 (Japan),SLPM-80557,Dengeki PlayStation D32,
Dengeki PlayStation D33 (Japan),SLPM-80562,Dengeki PlayStation D33,
Dengeki PlayStation D34 (Japan),SLPM-80569,Dengeki PlayStation D34,
Dengeki PlayStation D35 (Japan),SLPM-80574,Dengeki PlayStation D35,
Dengeki PlayStation D36 (Japan),SLPM-80578,Dengeki PlayStation D36,
Dengeki PlayStation D37 (Japan),SLPM-80582,Dengeki PlayStation D37,
Dengeki PlayStation D38 (Japan),SLPM-80589,Dengeki PlayStation D38,
Dengeki PlayStation D39 (Japan),SLPM-80603,Dengeki PlayStation D39,
Dengeki PlayStation D4 (Japan),SLPM-80157,Dengeki PlayStation D4,
Dengeki PlayStation D41 (Japan),SLPM-80607,Dengeki PlayStation D41,
Dengeki PlayStation D42 (Japan),SLPM-80611,Dengeki PlayStation D42,
Dengeki PlayStation D43 (Japan),SLPM-80612,Dengeki PlayStation D43,
Dengeki PlayStation D44 (Japan),SLPM-80615,Dengeki PlayStation D44,
Dengeki PlayStation D45 (Japan),SLPM-80618,Dengeki PlayStation D45,
Dengeki PlayStation D5 (Japan),SLPM-80186,Dengeki PlayStation D5,
Dengeki PlayStation D6 (Japan),SLPM-80214,Dengeki PlayStation D6,
Dengeki PlayStation D7 (Japan),SLPM-80309,Dengeki PlayStation D7,
Dengeki PlayStation D8 - Yarudora - Double Cast (Japan) (Taikenban),PCPX-96116,Dengeki PlayStation D8 - Yarudora Series Vol. 1 - Double Cast (Demo),
Dengeki PlayStation D8 (Japan),SLPM-80257,Dengeki PlayStation D8,
Dengeki PlayStation D9 (Japan),SLPM-80266,Dengeki PlayStation D9,
Denkou Sekka Micro Runner - Maniac Hakase no Hisaku (Japan),SLPS-02851,Denkousekka Micro Runner - Maniac Hakase no Hisaku,
Denkou Sekka Micro Runner - Maniac Hakase no Hisaku (Japan),SLPS-91429,,
Denpa Shounen-teki Game (Japan),SLPS-01287,Denpa Shounen-teki Game,電波少年的ゲーム
Densetsu no Ogre Battle (Japan),SLPS-00481,Densetsu no Ogre Battle,伝説のオウガバトル
Densetsu no Ogre Battle (Japan),SLPS-91083,,
Densetsu-juu no Ana - Monster Complete World Ver. 2 (Japan),SLPS-02297,Densetsu-juu no Ana - Monster Complete World Ver. 2,伝説獣の穴　モンスターコンプリワールド　Ｖｅｒ．２
Densha Daisuki - Plarail ga Ippai (Japan),SLPS-01753,Densha Daisuki - Plarail ga Ippai,電車だいすき　プラレールがいっぱい
Densha de Go! (Japan),SLPS-01150,Densha de Go!,電車でＧＯ！
Densha de Go! (Japan) (Demo),SLPM-80166,Densha de Go! (Demo),電車でＧＯ！
Densha de Go! (Japan) (PlayStation the Best),SLPM-86263,Densha de Go! (PlayStation the Best),電車でＧＯ！
Densha de Go! 2 (Japan),SLPM-86142,Densha de Go! 2,電車でＧＯ！２
Densha de Go! 2 (Japan) (Demo 1),SLPM-80346,Densha de Go! 2 (Demo 1),電車でＧＯ！２
Densha de Go! 2 (Japan) (Demo 2),SLPM-80406,Densha de Go! 2 (Demo 2),電車でＧＯ！２
Densha de Go! 2 (Japan) (Rev 1),SLPM-86615,Densha de Go! 2,電車でＧＯ！２
Densha de Go! Nagoya Tetsudou-hen (Japan),SLPM-86424,Densha de Go! Nagoya Tetsudou-hen,電車でＧＯ！名古屋鉄道編
Densha de Go! Nagoya Tetsudou-hen (Japan) (Demo),SLPM-80521,Densha de Go! Nagoya Tetsudou-hen (Demo),電車でＧＯ！　～名古屋鉄道編～
Densha de Go! Professional Shiyou (Japan),SLPM-86378,Densha de Go! Professional Shiyou,電車でＧＯ！　プロフェッショナル仕様
Densha de Go! Professional Shiyou (Japan),SLPM-86705,,
Densha de Go! Professional Shiyou (Japan) (Demo),SLPM-80511,Densha de Go! Professional Shiyou (Taikenban),電車でＧＯ！　プロフェッショナル仕様
Depth (Japan),SCPS-18003,Depth,
Derby Jockey 2001 (Japan),SLPS-03131,Derby Jockey 2001,ダービージョッキー２００１
Derby Jockey R (Japan),SLPS-00616,Derby Jockey R,ダービージョッキーＲ
Derby Stallion Magazine 2000 Vol. 1 (Japan),SLPM-80538,Derby Stallion Magazine 2000,
Derby Stallion Magazine 2000 Vol. 2 (Japan),SLPM-80559,Derby Stallion Magazine 2000 Vol. 2,ダビスタ・マガジン２０００　Ｖｏｌ．２
Derby Stallion Magazine Furoku CD-ROM Soushuu-hen (Japan),SLPM-80378,Derby Stallion Magazine Furoku CD-ROM Soushuu-hen,ダビスタマガジン　付録ＣＤ－ＲＯＭ　総集編
Derby Stallion Magazine Furoku CD-ROM Vol. 1 (Japan),SLPM-80177,Derby Stallion Magazine Furoku CD-ROM Vol. 1,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．１
Derby Stallion Magazine Furoku CD-ROM Vol. 10 (Japan),SLPM-80288,Derby Stallion Magazine Furoku CD-ROM Vol. 10,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．１０
Derby Stallion Magazine Furoku CD-ROM Vol. 11 (Japan),SLPM-80315,Derby Stallion Magazine Furoku CD-ROM Vol. 11,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．１１
Derby Stallion Magazine Furoku CD-ROM Vol. 12 (Japan),SLPM-80334,Derby Stallion Magazine Furoku CD-ROM Vol. 12,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．１２
Derby Stallion Magazine Furoku CD-ROM Vol. 2 (Japan),SLPM-80198,Derby Stallion Magazine Furoku CD-ROM Vol. 2,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．２
Derby Stallion Magazine Furoku CD-ROM Vol. 3 (Japan),SLPM-80211,Derby Stallion Magazine Furoku CD-ROM Vol. 3,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．３
Derby Stallion Magazine Furoku CD-ROM Vol. 4 (Japan),SLPM-80221,Derby Stallion Magazine Furoku CD-ROM Vol. 4,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．４
Derby Stallion Magazine Furoku CD-ROM Vol. 5 (Japan),SLPM-80307,Derby Stallion Magazine Furoku CD-ROM Vol. 5,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．５
Derby Stallion Magazine Furoku CD-ROM Vol. 6 (Japan),SLPM-80235,Derby Stallion Magazine Furoku CD-ROM Vol. 6,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．６
Derby Stallion Magazine Furoku CD-ROM Vol. 7 (Japan),SLPM-80249,Derby Stallion Magazine Furoku CD-ROM Vol. 7,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．７
Derby Stallion Magazine Furoku CD-ROM Vol. 8 (Japan),SLPM-80261,Derby Stallion Magazine Furoku CD-ROM Vol. 8,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．８
Derby Stallion Magazine Furoku CD-ROM Vol. 9 (Japan),SLPM-80280,Derby Stallion Magazine Furoku CD-ROM Vol. 9,ダビスタマガジン　付録ＣＤ－ＲＯＭ　Ｖｏｌ．９
Deroon Dero Dero (Japan),SLPS-00180,Deroon Dero Dero,でろ～んでろでろ
Descent (Europe),SLES-00055,Descent,
Descent (Japan),SLPS-00212,Descent,ディセント
Descent (USA),SLUS-00037,Descent,
Descent II (Europe),SLES-00558,Descent II,
Descent Maximum (USA),SLUS-00460,Descent Maximum,
Deserted Island (Japan),SLPS-00602,Deserted Island,デザーテッドアイランド
Destrega (Europe),SCES-01768,Destrega,
Destrega (France),SCES-01769,Destrega,
Destrega (Germany),SCES-01770,Destrega,
Destrega (Italy),SCES-01771,Destrega,
Destrega (Japan),SLPS-01591,Destrega,デストレーガ
Destrega (Japan) (Demo),SLPM-80310,Destrega (Demo),デストレーガ
Destrega (Spain),SCES-01772,Destrega,
Destrega (USA),SLUS-00732,Destrega,
Destruction Derby (Europe),SCES-00008,Destruction Derby,
Destruction Derby (Japan),SIPS-60001,Destruction Derby,デストラクション・ダービー
Destruction Derby (USA),SCUS-94302,Destruction Derby,
Destruction Derby 2 (Europe),SLES-00299,Destruction Derby 2,
Destruction Derby 2 (Japan),SIPS-60012,Destruction Derby 2,デストラクション・ダービー２
Destruction Derby 2 (USA),SCUS-94350,Destruction Derby 2,
"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)",SCES-02060,Destruction Derby Raw,
Destruction Derby Raw (USA),SLUS-00912,Destruction Derby Raw,
Destruction Derby Raw (USA) (Demo),SLUS-90092,Destruction Derby Raw (Demo),
Destructo 2 (Europe),SLES-04073,Destructo 2,
Detana Twinbee Yahoo! Deluxe Pack (Japan),SLPS-00100,,
Detana Twinbee Yahoo! Deluxe Pack (Japan),SLPM-86054,Detana Twinbee Yahoo! Deluxe Pack,出たな　ツインビーヤッホー！　ＤＥＬＵＸＥ　ＰＡＣＫ
Detective Barbie - The Mystery Cruise (Europe),SLES-03803,Detective Barbie - The Mystery Cruise,
Detective Barbie - The Mystery Cruise (USA),SLUS-01221,Detective Barbie - The Mystery Cruise,
"Detective Mouse (Europe) (En,Fr,De)",SLES-04130,Detective Mouse,
Devicereign (Japan),SLPS-01889,Devicereign,デバイスレイン
"Devil Dice (Europe) (En,Fr,De,Es,It)",SCES-01312,Devil Dice,
Devil Dice (USA),SLUS-00672,Devil Dice,
Devil Man (Japan),SLPS-02275,Devil Man,デビルマン
Devil Summoner - Soul Hackers (Japan) (Disc 1),SLPS-01921,,
Devil Summoner - Soul Hackers (Japan) (Disc 1),SLPM-87184,Devil Summoner - Soul Hackers (Disc 1),デビル・サマナー　ソウル・ハッカーズ (DISC 1)
Devil Summoner - Soul Hackers (Japan) (Disc 1),SLPS-91200,Devil Summoner - Soul Hackers [PlayStation the Best],
Devil Summoner - Soul Hackers (Japan) (Disc 2),SLPS-01922,,
Devil Summoner - Soul Hackers (Japan) (Disc 2),SLPM-87185,Devil Summoner - Soul Hackers (Disc 2),デビル・サマナー　ソウル・ハッカーズ (DISC 2)
Devil Summoner - Soul Hackers (Japan) (Disc 2),SLPS-91201,,
"Devil's Deception (Europe) (En,Fr,De)",SLES-00848,Devil's Deception,
"DewPrism (Japan, Asia)",SLPS-02330,,
"DewPrism (Japan, Asia)",SCPS-45436,DewPrism,デュープリズム
"DewPrism (Japan, Asia)",SLPM-87402,,
Dexter's Laboratory - Mandark's Lab (Europe),SLES-03627,Dexter's Laboratory - Mandark's Lab,
"Dexter's Laboratory - Mandark's Lab (Europe) (Fr,De)",SLES-03829,Dexter's Laboratory - Mandark's Lab,
Dexter's Laboratory - Mandark's Lab (USA),SLUS-01421,Dexter's Laboratory - Mandark's Lab,
Dezaemon Kids! (Japan),SLPS-01503,Dezaemon Kids!,デザエモンＫｉｄｓ！
Dezaemon Plus (Japan),SLPS-00335,Dezaemon Plus,デザエモン・プラス
Dezaemon Plus Select 100 (Japan) (Rev 1),SLPS-01504,Dezaemon Plus Select 100,デザエモン・プラス　セレクト１００
"Diablo (Europe) (En,Fr,De,Sv)",SLES-01156,Diablo,
Diablo (Japan),SLPS-01416,Diablo,ディアブロ
"Diablo (USA) (En,Fr,De,Sv)",SLUS-00619,Diablo,
Dice de Chocobo (Japan),SLPS-02523,Dice de Chocobo,ダイスＤＥチョコボ
"Die Hard Trilogy (Europe) (En,Fr,De,Es,It,Sv)",SLES-00445,Die Hard Trilogy,
Die Hard Trilogy (Japan),SLPS-00585,Die Hard Trilogy,ダイ・ハード・トリロジー
Die Hard Trilogy (USA),SLUS-00119,Die Hard Trilogy,
Die Hard Trilogy (USA) (Rev 1),SLUS-00119,Die Hard Trilogy,
Die Hard Trilogy 2 - Viva Las Vegas (Europe),SLES-02746,Die Hard Trilogy 2 - Viva Las Vegas,
Die Hard Trilogy 2 - Viva Las Vegas (France),SLES-02747,Die Hard Trilogy 2 - Viva Las Vegas,
Die Hard Trilogy 2 - Viva Las Vegas (Germany),SLES-02748,Die Hard Trilogy 2 - Viva Las Vegas,
Die Hard Trilogy 2 - Viva Las Vegas (Italy),SLES-02749,Die Hard Trilogy 2 - Viva Las Vegas,
Die Hard Trilogy 2 - Viva Las Vegas (USA),SLUS-01015,Die Hard Trilogy 2 - Viva Las Vegas,
Digical League (Japan),SLPM-86038,Digical League,デジカルリーグ
DigiCro - Digital Number Crossword (Japan),SLPS-00549,DigiCro - Digital Number Crossword,デジクロ　～デジタル・ナンバー・クロスワード～
Digimon - Digital Card Battle (USA),SLUS-01328,Digimon Digital Card Battle,
Digimon Digital Card Battle (Europe),SLES-03900,Digimon Digital Card Battle,
"Digimon Rumble Arena (Europe) (En,Fr,De,Es,It)",SLES-03841,Digimon Rumble Arena,
Digimon Rumble Arena (USA),SLUS-01404,Digimon Rumble Arena,
Digimon World (Europe),SLES-02914,Digimon World,
Digimon World (France),SLES-03435,Digimon World,
Digimon World (Germany),SLES-03434,Digimon World,
Digimon World (Italy),SLES-03437,Digimon World,
Digimon World (Spain),SLES-03436,Digimon World,
Digimon World (USA),SLUS-01032,Digimon World,
Digimon World 2 (USA),SLUS-01193,Digimon World 2,
"Digimon World 2003 (Europe) (En,Fr,De,Es,It)",SLES-03936,Digimon World 2003,
Digimon World 3 (USA),SLUS-01436,Digimon World 3,
DigimonTamers - Battle Evolution (Japan),SLPS-03357,DigimonTamers - Battle Evolution,デジモンテイマーズ　～バトル・エボリューション～
DigimonTamers - PocketCulumon (Japan),SLPS-03211,DigimonTamers - PocketCulumon,デジモンテイマーズ　～ポケットクルモン～
DigimonWorld - Digital Card Arena (Japan),SLPS-03101,DigimonWorld - Digital Card Arena,デジモンワールド　デジタルカードアリーナ
DigimonWorld - Digital Card Battle (Japan),SLPS-02506,DigimonWorld - Digital Card Battle,デジモンワールド　デジタルカードバトル
DigimonWorld (Japan),SLPS-01797,DigimonWorld,デジモンワールド
DigimonWorld (Japan) (Rev 1),SLPS-01797,DigimonWorld,デジモンワールド
DigimonWorld 2 (Japan),SLPS-02844,DigimonWorld 2,デジモンワールド２
DigimonWorld 3 - Aratanaru Bouken no Tobira (Japan),SLPS-03446,DigimonWorld 3 - Aratanaru Bouken no Tobira,デジモンワールド３　新たなる冒険の扉
Digital Ehon Vol. 1 - Imadoki no Momotarou (Japan),SLPM-87103,Digital Ehon Vol. 1 - Imadoki no Momotarou,デジタルえほん　Ｖｏｌ．１　～いまどきのももたろう～
Digital Ehon Vol. 2 - Imadoki no Kaguya-hime (Japan),SLPM-87104,Digital Ehon Vol. 2 - Imadoki no Kaguya-hime,デジタル・えほん　Ｖｏｌ．２　～いまどきのかぐやひめ～
Digital Ehon Vol. 3 - Imadoki no Saru Kani (Japan),SLPM-87105,Digital Ehon Vol. 3 - Imadoki no Saru Kani,デジタルえほん　Ｖｏｌ．３　～いまどきのさるかに～
Digital Ehon Vol. 4 - Imadoki no Hanasaka Jiisan (Japan),SLPM-87106,Digital Ehon Vol. 4 - Imadoki no Hanasaka Jiisan,デジタルえほん　Ｖｏｌ．４　いまどきの　はなさかじいさん
Digital Ehon Vol. 5 - Imadoki no Urashima-tarou (Japan),SLPM-87107,Digital Ehon Vol. 5 - Imadoki no Urashima-tarou,デジタルえほん　Ｖｏｌ．５　～いまどきのうらしまたろう～
Digital Figure Iina (Japan),SLPS-01481,Digital Figure Iina,デジタルフィギュア　イイナ
Digital Glider Airman (Japan),SLPS-02276,Digital Glider Airman,デジタルグライダー　エアマン
Dino Crisis (Europe),SLES-02207,Dino Crisis,
Dino Crisis (France),SLES-02208,Dino Crisis,
Dino Crisis (Germany),SLES-02209,Dino Crisis,
Dino Crisis (Italy),SLES-02210,Dino Crisis,
Dino Crisis (Japan),SLPM-86903,,
Dino Crisis (Japan),SLPS-02180,Dino Crisis,ディノ・クライシス
Dino Crisis (Spain),SLES-02211,Dino Crisis,
Dino Crisis (USA),SLUS-00922,Dino Crisis,
Dino Crisis (USA) (Demo),SLUS-90066,Dino Crisis (Demo),
Dino Crisis 2 (Europe),SLES-03221,Dino Crisis 2,
Dino Crisis 2 (France),SLES-03222,Dino Crisis 2,
Dino Crisis 2 (Germany),SLES-03223,Dino Crisis 2,
Dino Crisis 2 (Italy),SLES-03224,Dino Crisis 2,
Dino Crisis 2 (Japan),SLPM-86627,Dino Crisis 2,ディノクライシス２
Dino Crisis 2 (Japan),SLPM-87234,,
Dino Crisis 2 (Japan) (Demo),SLPM-80573,Dino Crisis 2 (Demo),ディノクライシス　２
Dino Crisis 2 (Spain),SLES-03225,Dino Crisis 2,
Dino Crisis 2 (USA),SLUS-01279,Dino Crisis 2,
"Dino Crisis 2 (USA) (En,Ja) (Demo)",SLUS-90087,Dino Crisis 2 (Demo),
"Dinomaster Party (Europe) (En,Fr,De,Es,It,Nl)",SLES-03989,Dinomaster Party,
"Dinosaurs (Europe) (En,Fr,De)",SLES-04063,Dinosaurs,
Dioramos (Japan),SLPS-02797,Dioramos,ディオラムス
Dioramos (Japan) (Demo),SLPM-80587,Dioramos (Demo),ディオラムス
Dirt Champ Motocross No. 1 (Japan),SLPS-02146,Dirt Champ Motocross No. 1,ダートチャンプ　モトクロスＮｏ．１
Dirt Champ Motocross No. 1 (Japan) (Demo),SLPM-80501,Dirt Champ Motocross No. 1 (Demo),ダートチャンプ　モトクロスＮｏ．１
Dirt Jockey - Heavy Equipment Operator (USA),SLUS-01552,Dirt Jockey - Heavy Equipment Operator,
Dirt Jockey - Heavy Equipment Operator (USA) (Beta) (2003-04-02),SLUS-01552,Dirt Jockey - Heavy Equipment Operator,
Disc Derby - Meiba o Tsukurou!! (Japan),SLPS-02428,Disc Derby - Meiba o Tsukurou!!,ディスク・ダービー　～名馬をつくろう！！～
Disc Station Bessatsu - I Miss You. Tanaka Katsumi (Japan),SLPM-80169,Disc Station Bessatsu - I Miss You. Tanaka Katsumi,Ｄｉｓｃ　Ｓｔａｔｉｏｎ別冊　ｉ　ｍｉｓｓ　ｙｏｕ．　田中　勝己
Discworld (Japan),SLPS-00251,Discworld,ディスクワールド
Discworld (Japan),SLPS-02656,,
"Discworld II - Missing Presumed...! (Europe) (En,Es,It)",SLES-00793,Discworld II - Missing Presumed...!,
Discworld II - Mortality Bytes! (USA),SCUS-94605,Discworld II - Mortality Bytes!,
Discworld II - Mortellement Votre (France),SLES-00794,Discworld II - Mortellement Votre,
Discworld II - Vermutlich vermisst...! (Germany),SLES-00795,Discworld II - Vermutlich vermisst...!,
Discworld II (France) (Demo),SLED-01109,Discworld II (Demo),
"Discworld Noir (Europe) (En,Es,It)",SLES-01549,Discworld Noir,
"Discworld Noir (Europe) (En,Es,It) (Demo)",SLED-02604,Discworld Noir (Demo),
Discworld Noir (France),SLES-02063,Discworld Noir,
Discworld Noir (Germany),SLES-02064,Discworld Noir,
Disney Action Game Disney Presenta Hercules (Italy),SCES-00894,Disney Action Game Disney Presenta Hercules,
Disney Aladdin - La Revanche de Nasira (France),SCES-03004,Disney Aladdin - La Revanche de Nasira,
Disney Aladdin - La Vendetta di Nasira (Italy),SCES-03006,Disney Aladdin - La Vendetta di Nasira,
Disney Aladdin - La Venganza de Nasira (Spain),SCES-03008,Disney Aladdin - La Venganza de Nasira,
Disney Atlantida - O Continente Perdido (Portugal),SCES-03543,Disney Atlantida - O Continente Perdido,
Disney Atlantide - L'Empire Perdu (France),SCES-03537,Disney Atlantide - L'Empire Perdu,
Disney Atlantide - L'Empire Perdu (France) (Demo),SCED-03637,Disney Atlantide - L'Empire Perdu (Demo),
Disney Atlantis - L'Impero Perduto (Italy),SCES-03539,Disney Atlantis - L'Impero Perduto,
Disney Dingo Une Journee de Dingue! (France),SLES-03638,Disney Dingo Une Journee de Dingue!,
Disney Dinosaure (France),SLES-02891,Disney Dinosaure,
Disney Dinosauri (Italy),SLES-02893,Disney Dinosauri,
Disney Fais Ton Histoire! Mulan (France),SCES-02004,Disney Fais Ton Histoire! Mulan,
Disney Il Pianeta del Tesoro (Italy),SCES-03940,Disney Il Pianeta del Tesoro,
Disney Il Re Leone - La Grande Avventura di Simba (Italy),SLES-03271,Disney Il Re Leone - La Grande Avventura di Simba,
Disney Jeu d'Action Disney Presente Hercule (France),SCES-00892,Disney Jeu d'Action Disney Presente Hercule,
Disney Juego de Accion Disney Presenta Hercules (Spain),SCES-00895,Disney Juego de Accion Disney Presenta Hercules,
Disney La Petite Sirene 2 (France),SCES-03033,Disney La Petite Sirene 2,
Disney La Planete au Tresor (France),SCES-03938,Disney La Planete au Tresor,
Disney La Sirenetta II (Italy),SCES-03035,Disney La Sirenetta II,
Disney La Sirenita 2 (Spain),SCES-03036,Disney La Sirenita 2,
Disney La Super-Diver Casa de Goofy (Spain),SLES-03641,Disney La Super-Diver Casa de Goofy,
Disney le Roi Lion - La Formidable Aventure de Simba (France),SLES-03269,Disney le Roi Lion - La Formidable Aventure de Simba,
"Disney Learning - Mickey (Europe) (En,Fr,De,Es,It,Nl)",SLES-03965,Disney Learning - Mickey,
"Disney Learning - Winnie the Pooh (Europe) (En,Fr,De,It,Nl,Sv,Da)",SLES-03983,Disney Learning - Winnie the Pooh,
Disney Libro Animato Creativo - Mulan (Italy),SCES-02006,Disney Libro Animato Creativo - Mulan,
Disney Lilo & Stitch - Sarilhos no Paraiso (Portugal),SCES-03877,Disney Lilo & Stitch - Sarilhos no Paraiso,
Disney Lilo & Stitch en Problemas en el Paraiso (Spain),SCES-03875,Disney Lilo & Stitch en Problemas en el Paraiso,
Disney Pato Donald - Cuac Attack (Spain),SLES-03099,Disney Pato Donald - Cuac Attack,
Disney Peter Pan - Aventuras na Terra do Nunca (Portugal),SCES-03717,Disney Peter Pan - Aventuras na Terra do Nunca,
Disney Peter Pan - Aventures au Pays Imaginaire (France),SCES-03711,Disney Peter Pan - Aventures au Pays Imaginaire,
Disney Pippo Giochi Pazzi (Italy),SLES-03640,Disney Pippo Giochi Pazzi,
Disney Pooh e Tigro! E Qui la Festa (Italy),SCES-03749,Disney Pooh e Tigro! E Qui la Festa,
Disney Presents Tigger's Honey Hunt (USA),SLUS-01210,Disney Presents Tigger's Honey Hunt,
Disney Tarzan (France),SCES-01516,Disney Tarzan,
Disney Tarzan (Italy),SCES-01518,Disney Tarzan,
Disney Tarzan (Spain),SCES-01519,Disney Tarzan,
Disney Tigger tras un Bote de Miel (Spain),SLES-03259,Disney Tigger tras un Bote de Miel,
Disney Ven a la Fiesta! con Winnie the Pooh (Spain),SCES-03748,Disney Ven a la Fiesta! con Winnie the Pooh,
Disney Winnie l'Ourson - La Chasse au Miel de Tigrou (France),SLES-03256,Disney Winnie l'Ourson - La Chasse au Miel de Tigrou,
Disneyn Aladdin - Nasiran Kosto (Finland),SCES-03003,Disneyn Aladdin - Nasiran Kosto,
Disneyn Peter Pan - Seikkailu Mika-Mika-Maassa (Finland),SCES-03710,Disneyn Peter Pan - Seikkailu Mika-Mika-Maassa,Disneyn Peter Pan - Seikkailu Mikä-Mikä-Maassa
Disneyn Tarzan (Finland),SCES-02184,Disneyn Tarzan,
Disney-Pixar A Bug's Life - Atelier de Jeux (France),SCES-02459,Disney-Pixar A Bug's Life - Atelier de Jeux,
Disney-Pixar A Bug's Life - Disneys Malen und Spielen (Germany),SCES-02460,Disney-Pixar A Bug's Life - Disneys Malen und Spielen,Entdecke eine interaktive Spielwelt und betätige dich als Künstler
Disney-Pixar A Bug's Life - Megaminimondo (Italy),SCES-01522,Disney-Pixar A Bug's Life - Megaminimondo,
Disney-Pixar A Bug's Life - Megaminimondo (Italy) (Rev 1),SCES-01522,Disney-Pixar A Bug's Life - Megaminimondo,
Disney-Pixar A Bug's Life (Europe),SCES-01489,Disney-Pixar A Bug's Life,
Disney-Pixar A Bug's Life (France),SCES-01520,Disney-Pixar A Bug's Life,
Disney-Pixar A Bug's Life (Japan),SLPM-86330,Disney-Pixar A Bug's Life,バグズ・ライフ
Disney-Pixar A Bug's Life (USA),SCUS-94288,Disney-Pixar A Bug's Life,
Disney-Pixar A Bug's Life (USA) (Rerelease),SLUS-01538,Disney-Pixar A Bug's Life (Rerelease),
Disney-Pixar Bichos - Una Aventura en Miniatura (Spain),SCES-01523,Disney-Pixar Bichos Una Aventura en Miniatura,
Disney-Pixar Bottega dei Giochi - A Bug's Life Megaminimondo (Italy),SCES-02461,Disney-Pixar Bottega dei Giochi - A Bug's Life Megaminimondo,
Disney-Pixar Buzz Lightyear da Comando Stellare (Italy),SLES-03314,Disney-Pixar Buzz Lightyear da Commando Stellare,
Disney-Pixar Buzz Lightyear of Star Command (Europe),SLES-03310,Disney-Pixar Buzz Lightyear of Star Command,
Disney-Pixar Buzz Lightyear of Star Command (USA),SLUS-01192,Disney-Pixar Buzz Lightyear of Star Command,
Disney-Pixar Captain Buzz Lightyear - Star Command (Germany),SLES-03313,Disney-Pixar Captain Buzz Lightyear - Star Command,
Disney-Pixar Das grosse Krabbeln (Germany),SCES-01521,Disney-Pixar Das grosse Krabbeln,
Disney-Pixar Die Monster AG - Schreckens-Insel (Germany),SCES-03764,Disney-Pixar Die Monster AG - Schreckens-Insel,
Disney-Pixar Een Luizenleven (Netherlands),SCES-01525,Disney-Pixar Een Luizenleven,
Disney-Pixar Ett smakryps liv (Sweden),SCES-01526,Disney-Pixar Ett smakryps liv,
Disney-Pixar Graes-Rodderne (Denmark),SCES-01524,Disney-Pixar Graes-Rodderne,
Disney-Pixar Les Aventures de Buzz L'Eclair (France),SLES-03312,Disney-Pixar Les Aventures de Buzz L'Eclair,
Disney-Pixar Monsterbedriften - Skrekkoya (Norway),SCES-03766,Disney-Pixar Monsterbedriften - Skrekkoya,
Disney-Pixar Monsterit Oy - Saeikkysaari (Finland),SCES-03762,Disney-Pixar Monsterit Oy - Saeikkysaari,
Disney-Pixar Monsters & Co. - L'Isola dello Spavento (Italy),SCES-03765,Disney-Pixar Monster & Co. - L'Isola dello Spavento,
Disney-Pixar Monsters en Co. - Schrik Eiland (Netherlands),SCES-03761,Disney-Pixar Monsters en Co. - Schrik Eiland,
