redump_name,serial,name,localizedName
5 Star Racing (Europe),SLES-04064,5 Star Racing,
50 por 15 - Quiere Ser Millonario (Spain),SLES-03481,Quiere ser millonario,
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1),SLPS-01995,70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 1),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 1)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2),SLPS-01996,70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 2),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 2)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3),SLPS-01997,70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 3),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 3)
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),SLPS-01998,70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 4),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 4)
70's Robot Anime - Geppy-X (Japan) (Demo),SLPM-80387,70's Robot Anime - Geppy-X (Demo),´７０年代風ロボット・アニメ　ゲッＰ－Ｘ
'98 Koushien - Koukou Yakyuu Simulation (Japan),SLPS-01204,'98 Koushien - Koukou Yakyuu Simulation,高校野球シミュレーション　’９８　ＹＥＡＲ　甲子園
'98 Koushien (Japan) (Demo),SLPM-80238,'98 Koushien (Demo),’９８　甲子園
'99 Koushien (Japan),SLPS-02110,'99 Koushien,’９９甲子園
'99 Koushien (Japan) (Demo),SLPM-80421,'99 Koushien (Taikenban),’９９甲子園
A Ressha de Ikou 4 - Evolution (Japan),SLPS-00004,A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),SLPS-00011,A Ressha de Ikou 4 - Evolution (Gentei Set),Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),SLPS-00004,A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",SLPS-00125,A Ressha de Ikou 4 - Evolution Global,Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",SLPS-91019,A Ressha de Ikou 4 - Evolution Global (PlayStation the Best),Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～
