No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
Fantasia (World) (Rev A),SEGA GENESIS,(C)SEGA 1991.JUN,FANTASIA,FANTASIA,GM,MK-1021,1,24431 (0x5F6F),U,2cec24d7572f292704baef68037603dda5c1961b4cdc982aa3a984471c44e8fe
"Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It)",SEGA MEGA DRIVE,(C)SEGA 1991.MAR,(unknown),(unknown),GM,00000000-00,(unknown),5771 (0x168B),E,7dcdb8a9d8b72ea1250dbd15cd4e4279e07821be9df14d53298298851c19bc80
Fantasy Pinball (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)SEGA 1998.JUN,Prj1,Prj1,GM,T-274026-01,(unknown),0 (0x0000),F,07042c1bc4cd3610392600c04fe28f087182d0414587258e3be7f470a9aa6b8a
"Fantasy Zone (World) (Mega Drive Mini 2, Genesis Mini 2)",SEGA MEGA DRIVE,(C)SEGA 2022.OCT,Fantasy Zone,Fantasy Zone,GM,G-4120,0,28856 (0x70B8),JUE,47c44717d8c11ae95ce61bfac245638267be0c10dd8e14b003db97a5193828d2
Fastest 1 (Japan),SEGA MEGA DRIVE,(C)T-43 1991.APR,FASTEST1,(unknown),GM,T-43023,0,624 (0x0270),J,d76f7671aefb91ec14418b625cd0f31c9cbf0e1af62908bc8c1ec83d9ed10872
"Fatal Fury (Europe, Korea) (En)",SEGA GENESIS,(C)T-10 1993.FEB,餓狼伝説,FATAL FURY,GM,MK-1083,0,63261 (0xF71D),E,219ac3b2489dc5f90e90017795a34150212cde46aa049d8fcac1a95f5f2234a7
Fatal Fury (USA),SEGA GENESIS,(C)T-10 1993.FEB,餓狼伝説,FATAL FURY,GM,T-103016-00,(unknown),8507 (0x213B),U,3616ab02a6b7301b9c370df58b8b216c185eec52c8f474fe8a29c9a473975ec5
"Fatal Fury 2 (USA, Korea) (En)",SEGA GENESIS,(C)T-10 1994,餓狼伝説２,FATAL FURY 2,GM,T-103046-00,(unknown),27337 (0x6AC9),UE,b91a87685b92e19ba43106e2b620adaa88c5343be8b4a6ab8d687696f7c4e677
"Fatal Labyrinth (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1991.JAN,SHINOMEIKYU     LABYLINTH OF DEATH,FATAL LABYLINTH,GM,00001309-00,(unknown),11210 (0x2BCA),JU,671782a5b25d7abac07e084a7efe0d02a1248f5fb894713a34b3f8b05d637695
"Fatal Rewind (USA, Europe)",SEGA GENESIS,(C)T-50 1991.SEP,FATAL REWIND,FATAL REWIND,GM,T-50256,0,64860 (0xFD5C),U,cef77f7a98c226811cd9e249190a0257f6ef9dfc366047cd71e3767a4e070379
"Fatal Rewind (USA, Europe) (Rev 1)",SEGA GENESIS,(C)T-50 1991.SEP,THE KILLING GAME SHOW,THE KILLING GAME SHOW,GM,T-50256,0,46347 (0xB50B),U,a16a8cf8e03f0543849b84bc850bba48f9a44d141977ec8912c8e167099531cd
Fatman (Japan),SEGA MEGA DRIVE,(C)T-38 1990.AUG,FATMAN                          MONDU'S FIGHT PA,LACE            GM T-44013 -00J,,,(unknown),65535 (0xFFFF),J,5db84e462c64e5260c77352b87f5a6c48aaa085ca58396a6367e89202bfd64dd
Ferias Frustradas do Pica Pau (Brazil),SEGA MEGA DRIVE,(C)SEGA 1995.JUL,PICA-PAU,ASDRUBAL,GM,T-274016-00,(unknown),18527 (0x485F),F,e3f0a300189e8fb5c1da7152e193ffc6fd194f2bec25e8d04a589dc3f7ed239a
Ferrari Grand Prix Challenge (Europe),SEGA MEGA DRIVE,(C)T-00 1992.MAY,(unknown),FERRARI GRANDPRIX CHALLENGE,GM,T-81016,0,21915 (0x559B),U,d773cabb5b034ec999d9dd0e09df704fbbc51b8f2b0f38970e7b1d4409cdd9e1
Ferrari Grand Prix Challenge (USA),SEGA GENESIS,(C)T-81 1992.MAY,FERRARI GRANDPRIX CHALLENGE,FERRARI GRANDPRIX CHALLENGE,GM,T-081016-00,(unknown),53939 (0xD2B3),U,8aba0e46e3b0495f7ba2273145f8f8c43b0c7c0207f488cc82fedd645d612591
"Fever Pitch Soccer (Europe) (En,Fr,De,Es,It)",SEGA MEGA DRIVE,(C)T-79 1995.JUN,FEVER PITCH,FEVER PITCH,GM,T-79196-50,(unknown),65174 (0xFE96),C,f38aaff19d112dde15cb3d31a209eec8b0b2715e56a98f13800a0050968c6cdb
Fica 1 (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVW 2003.JUN,Fica 1,Fica 1,GM,00000000-00,(unknown),19125 (0x4AB5),UEJ,790f7854d4fec34b3c7de780c3f3b45eaeb2191c7994bc1c7a85061e4d5b4942
"FIFA 98 - Road to World Cup (Europe) (En,Fr,Es,It,Sv)",SEGA GENESIS,(C)T-50 1997.OCT,FIFA: ROAD TO WORLD CUP 98,FIFA: ROAD TO WORLD CUP 98,GM,T-172206-00,(unknown),49194 (0xC02A),8,8c254d82237eba38a22d8d434ddd99b9187e408c6eb0393579f864f8c5e882ba
"FIFA International Soccer (Japan) (En,Ja)",SEGA MEGA DRIVE,(C)T-50 1994.JUN,FIFA International Soccer,FIFA International Soccer,G,GM T-      -00,(unknown),50673 (0xC5F1),EUJ,4979eeeb1b9c70e745d35ba9b1adeb1b78a813ff497a97e2a7be2ba9d33a4ce3
"FIFA International Soccer (USA, Europe) (En,Fr,De,Es)",SEGA GENESIS,(C)T-50 1993.SEP,FIFA International Soccer,FIFA International Soccer,GM,T-50706,0,31754 (0x7C0A),EUJ,c3060ed192d1c4e1fce2b1fc9f0310742e9a86a8bc6a5764b30ae0562bc0569e
"FIFA Soccer 95 (Korea) (En,Fr,De,Es)",SEGA GENESIS,(C)T-50 1994.NOV,FIFA Soccer 95,FIFA Soccer 95,GM,T-50916,1,18021 (0x4665),EUJ,b6b1f9666adcccbefeb4bd67dbbbc666b96f4aee566bc459ce11b210f30950fe
"FIFA Soccer 95 (USA, Europe) (En,Fr,De,Es)",SEGA GENESIS,(C)T-50 1994.OCT,FIFA Soccer 95,FIFA Soccer 95,GM,T-50916,0,62321 (0xF371),EUJ,3a2c8a1485c07c9f876f69d7b51c253b4983665041c9ea64b526759c0b3bebed
"FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es,It,Sv)",SEGA GENESIS,(C)T-50 1995.AUG,FIFA Soccer '96,FIFA Soccer '96,GM,T-172086-00,(unknown),51648 (0xC9C0),F,6a4d606c6f1fa8930e00d317dc8d3edee8f54ac2df2ac835bcb6be6777c35b01
"FIFA Soccer 97 (USA, Europe) (En,Fr,De,Es,It,Sv)",SEGA GENESIS,(C)T-50 1996.SEP,FIFA Soccer '97 Gold,FIFA Soccer '97 Gold,GM,T-172156-01,(unknown),29423 (0x72EF),C,58794bcfc03a224e02eb1fda630654f5c46819bc2413093a528308e1727f9ecb
"Fighting Masters (Japan, Korea) (En)",SEGA MEGA DRIVE,(C)T-24 1990.NOV,ファイティング　マスターズ,FIGHTING MASTERS,GM,T-24063,0,41338 (0xA17A),JU,8f4b3029b80249ee235f83257064f3302b1040ce5fdc27951e0ee8817dbee5cb
Fighting Masters (USA),SEGA MEGA DRIVE,(C)T-24 1991.DEC,ファイティング　マスターズ,FIGHTING MASTERS,GM,T-24056,0,34100 (0x8534),U,338ffb936ad0c8abb1829ed8ef3401866eff9f56313f2f46ac7e056307cb2e53
Final Blow (Japan) (En),SEGA MEGA DRIVE,(C)T-11 1990.JAN,ﾌｧｲﾅﾙﾌﾞﾛｰ,FAINAL BLOW,GM,T-11033,0,64435 (0xFBB3),J,577aad20bd9193fae69f9297298eab3a8c4fc2929582c75c42b3d45fe21ad2f5
"Final Zone (Japan, USA) (En)",SEGA MEGA DRIVE,(C)T-32 1990.OCT,FZｾﾝｷ AXIS,FINALZONE,GM,T-32013,0,7207 (0x1C27),JU,4920c7304914f6f43bc4bd463c4b4eb97a446d0385faf3ed2f195ccb05c21cc6
Fire Mustang (Japan),SEGA MEGA DRIVE,(C)T-11 1991.MAY,MUSTANG,(unknown),GM,T-11123,0,59433 (0xE829),J,9c4a43fc45c784ad82a363c3b9f79f439b7b7feebf1486b36f3e25c69d3bcf27
Fire Shark (Europe),SEGA GENESIS,(C)T-40 1990.AUG,SAME SAME SAME,FIRE SHARK,GM,T-34016,0,30416 (0x76D0),U,cc8340ed5bbff2fd5dd4735c01a8e35123c8d5c972f6b2b4c59ebe30dbd79a6b
Fire Shark (USA),SEGA GENESIS,(C)T-40 1990.AUG,SAME SAME SAME,FIRE SHARK,GM,T-34016,0,58213 (0xE365),U,603030d2054701a6129eb3d8f4762f8888b9a1d75802fe6d175210fe364d9dad
"Flashback - The Quest for Identity (USA) (En,Fr)",SEGA GENESIS,(C)T-79 1993.JAN,FLASHBACK,FLASHBACK          Version on      01/20/1993,GM,T-79066,(unknown),32104 (0x7D68),U,2fe54a4d562b6b8d469faddbc775cb7de88a2ec9c30b7143a491fba5aa5fe8b5
"Flashback (Europe) (En,Fr)",SEGA MEGA DRIVE,(C)T-79 1993.JAN,FLASHBACK,FLASHBACK          Version on      01/20/1993,GM,T-79066-50,(unknown),43140 (0xA884),JUE,ff8a315882db2bb01fdc876fb5cffb245ae6a999cde063c63ff5ea312e455c67
Flashback (Japan),SEGA MEGA DRIVE,(C)T-15 1993.JAN,FLASHBACK,FLASHBACK          Version on      01/20/1993,GM,T-15083,(unknown),63093 (0xF675),JUE,fa310402bf85bebc03523e5174ac7b0460718c61c09f725ab4f259156e722651
"Flicky (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1991.FEB,FLICKY,FLICKY,GM,00001022-00,(unknown),47072 (0xB7E0),JUE,4df1a91e08376ae773a6eb8e5abe310f94ca39d8f81583b91a9477fedcb68c11
"Flink (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-1131994.JUL,THE (MIS)ADVENTURES OF FLINK,THE (MIS)ADVENTURES OF FLINK,GM,T-113046-00,(unknown),59972 (0xEA44),E,19efa6d3c65a3fc2641427930c04548365e7f202f8526234f186ff259b26e4a5
"Flintstones, The (Europe) (Taito)",SEGA MEGA DRIVE,(C)T-11 1993.MAR,THE FLINTSTONES,THE FLINTSTONES,GM,MK-1088-50,(unknown),52608 (0xCD80),E,0b305bd62b1194f4cfeea5666fc3ebad0bae878f2b376eb00fe5d3c7ba8e1092
"Flintstones, The (Japan) (Taito)",SEGA MEGA DRIVE,(C)T-11 1993.FEB,THE FLINT STONES,THE FLINT STONES,GM,T-11173-00,(unknown),5168 (0x1430),J,ecdc3bfd64b44233185d3d533bcfa26641f37a2e7d431af54743bc551457f03d
"Flintstones, The (USA) (Taito)",SEGA GENESIS,(C)T-11 1993.FEB,THE FLINTSTONES,THE FLINTSTONES,GM,T-11116-00,(unknown),38386 (0x95F2),U,eef03cf3d05a1cc88e78726cabbf28a353ff41793fe4d9025b8c64b6a75af631
Forca Alienigena (Brazil),SEGA MEGA DRIVE,(C)DEVW 2002.MAR,For軋 Alien刕ena,For軋 Alien刕ena,GM,00000000-00,(unknown),20311 (0x4F57),UEJ,906cd9c9fad7a3c5df0b488d4da2e3759810a04dcf93f510c63aad44f45faa1d
Foreman for Real (World),SEGA GENESIS,(C)T-81 1995.JUL,FOREMAN FOR REAL,FOREMAN FOR REAL,GM,T-81506,0,11674 (0x2D9A),F,3cebfe2bcf9f1fbd1bb1915ce6b07fcc0851e0caea9ac8b63d93fce7f92a81ee
Forgotten Worlds (World),SEGA MEGA DRIVE,(C)SEGA 1989.SEP,FORGOTTEN WORLDS,FORGOTTEN WORLDS,GM,00004016-00,(unknown),20098 (0x4E82),JUE,ae60fcd2dcf0add65104df7c65a89583ee1f95fae9814e4c497d96018511c230
Forgotten Worlds (World) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1990.MAR,FORGOTTEN WORLDS,FORGOTTEN WORLDS,GM,00004016-01,(unknown),40922 (0x9FDA),JUE,e825296f02162dc03b984d8b5213a9674aedfd410beb13d755a185da0afedebd
Formula One (USA),SEGA GENESIS,(C)T-88 1993.AUG,FORMULA ONE,FORMULA ONE,GM,T-088066,0,5912 (0x1718),JUE,b71858f50eb126d96fc702cc48c1f9f7ae1b2404a61a7e8960fe3fcb5b58fc63
"Frank Thomas Big Hurt Baseball (USA, Europe)",SEGA GENESIS,(C)T-81 1995.SEP,FRANK THOMAS BIGHURT BASEBALL,FRANK THOMAS BIGHURT BASEBALL,GM,T-81476,0,52088 (0xCB78),F,8aa5b0aa8f550a42aa0dfe5c200dcf4bc344e9b114a0c056acced3374441ece0
Frogger (USA),SEGA GENESIS,(C)T-50 1998.SEP,FROGGER,FROGGER,GM,T-50901,0,14222 (0x378E),UJ,8292a47c043cbac14c61db3b7d43f78c0bc0eea3277f7d2ea76eeac415382ddc
Frogger (USA) (Rev 1),SEGA GENESIS,(C)T-50 1998.SEP,FROGGER,FROGGER,GM,T-50901,0,10834 (0x2A52),UJ,acad5256839bcb17274dc4fbca68f75fff8ed60b5618f0f60920e728c85a3425
From TV Animation Slam Dunk - Kyougou Makkou Taiketsu! (Japan),SEGA MEGA DRIVE,(unknown),From TV animation SLAMDUNK,From TV animation SLAMDUNK,(unknown),T-133037,0,56603 (0xDD1B),1,c8ab7bdfdca79429851dc8ceb71b01ea009a4c4bdc7bb9a242fbb47f4fc6e1ca
Fun 'n Games (Europe),SEGA GENESIS,(C)T-93 1994.MAR,FUN N GAMES,FUN N GAMES,GM,T-93126,0,4336 (0x10F0),E,70b93b22fd3646733afcb79bb2c5f5ac2aec01013ce4aa7303eed0686f7bcf0d
Fun 'n' Games (USA),SEGA GENESIS,(C)T-97 1993.AUG,FUN N GAMES,FUN N GAMES,GM,T-97056-00,(unknown),46869 (0xB715),U,d249b70d3465f011fcfb2f99d1670927342d88149204299a92a40a294b6a3574
Fushigi no Umi no Nadia (Japan),SEGA MEGA DRIVE,(C)T-14 1990.JAN,ふしぎの海のナディア,THE SECRET OF BLUE WATER,GM,T-14083,0,10345 (0x2869),J,8281500efdb93ce6168e37921f774327bda0ea55e8682a5f7c123d72d59e6f9a
Gadget Twins (USA),SEGA MEGA DRIVE,(C)T-83 1992.JUL,GADGET TWINS,GADGET TWINS,GM,T-83036,0,58474 (0xE46A),U,1f0b6639ce196c035432fee9c0e86a5e65d8c9c3e49daa7ad3da19397c7ccd08
"Gaiares (Japan, USA) (En)",SEGA MEGA DRIVE,(C)T-49 1990.DEC,ＧＡＩＡＲＥＳ（ガイアレス）,GAIARES,GM,T-49013,3,11945 (0x2EA9),JU,d8c5113f35e8af579f3525972a74042dd45ac5e2bef0dd054e16680377bfa543
Gain Ground (Europe),SEGA MEGA DRIVE,(C)SEGA 1990.DEC,GAIN GROUND,GAIN GROUND,GM,00004036-00,(unknown),60879 (0xEDCF),JU,38116145d3e4dd086bd364ba44ee0cb176d75299dbdd516dc0e2de8aba73faab
Gain Ground (Japan) (En),SEGA MEGA DRIVE,(C)SEGA 1990.DEC,GAIN GROUND,GAIN GROUND,GM,00004036-00,(unknown),45717 (0xB295),JU,a54938fc04dfe3a1452d90d89e95b609d38f47111d06eed9c49562bdfaba5bf9
Gain Ground (USA),SEGA MEGA DRIVE,(C)SEGA 1990.DEC,GAIN GROUND,GAIN GROUND,GM,00004036-00,(unknown),42848 (0xA760),JU,17a6b6050d23bb572f6819935b20fa0196f2d765f6a8806109521079def846ca
Galaxy Force II (Japan) (En),SEGA MEGA DRIVE,(C)T-68 1991.JUN,GALAXY FORCE II,GALAXY FORCE II,GM,T-68013-001,(unknown),25563 (0x63DB),J,d6b08dca4c8286ce5859fe7d342c0b522bd8b203ee6629024122c722c33687dc
Galaxy Force II (Japan) (En) (Virtual Console),SEGA MEGA DRIVE,(C)T-68 1991.JUL,GALAXY FORCE II,GALAXY FORCE II,GM,T-68013,0,30053 (0x7565),J,b78c178f2bf5c68e951921f7de796c4b456c079baa7f7081e493386901d7e127
"Galaxy Force II (USA, Europe) (SEGA Classic Collection)",SEGA MEGA DRIVE,(C)T-68 1991.OCT,GALAXY FORCE II,GALAXY FORCE II,GM,T-68013,1,19709 (0x4CFD),JU,423bb2187a365103bcf35d176e8f53ce58e399280727a69285784adbe6b23324
Galaxy Force II (World) (Rev B),SEGA MEGA DRIVE,(C)T-68 1991.OCT,GALAXY FORCE II,GALAXY FORCE II,GM,T-68013,1,19709 (0x4CFD),JU,2af8441195fdece7cacd377b12be5ac6875641c5824b0a4ce715b6f4f28466bc
Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong Doujou (Japan),SEGA MEGA DRIVE,(C)T-45 1990.DEC,ぎゅわんぶらあ自己中心派　片山まさゆきの麻雀道場,(unknown),GM,T-45013,0,39632 (0x9AD0),J,b4e3010da4e74b65288185dae5c59ea504ead9551f3fe5d53ecbd6800c381cee
Game no Kanzume Otokuyou (Japan) (Sega Channel),SEGA MEGA DRIVE,(C)T-68 1995.MAR,ゲームのかんづめお徳用,GAME CAN SPECIAL,GM,T-68,???-???,0 (0x0000),J,9b5b7e0ae9389afd359519e6ea05f10ee751c505798606fd3877a8e8d464822a
"Garfield - Caught in the Act (USA, Europe)",SEGA GENESIS,(C)SEGA 1995.SEP,GARFIELD,GARFIELD,GM,MK-1556,0,26246 (0x6686),C,6a778422aeca1fd12cb6a414682a6ecd992d8435ac215a4fd9cdbfe7fe702c8a
Gargoyles (USA),SEGA GENESIS,(C)T-2391995.SEP,GARGOYLES,GARGOYLES,GM,T-239056-00,(unknown),54649 (0xD579),4,35a0f2dd9b35f1cd8487447ffe9c79a391eccd753ba29744bdfa76f8339b4571
Garou Densetsu - Shukumei no Tatakai (Japan),SEGA MEGADRIVE,(C)T-10 1993.FEB,餓狼伝説,FATAL FURY,GM,G-4100,(unknown),3880 (0x0F28),J,3e003109220896c3c6c3e77192f4b589256957896a8755940a41c54173637f40
Garou Densetsu 2 - Aratanaru Tatakai (Japan),SEGA MEGA DRIVE,(C)T-10 1994,餓狼伝説２,FATAL FURY 2,GM,T-146023-00,(unknown),31914 (0x7CAA),J,94fb209d0ef061b98ed2d554f349c39401d3cb72928748a8cc31c61715107d53
Garry Kitchen's Super Battletank - War in the Gulf (USA),SEGA GENESIS,(C)T-92 1992.AUG,SUPER BATTLETANK,SUPER BATTLETANK,GM,T-86016,0,24842 (0x610A),U,6358566e098b7774ca72f82e128d3a366e181ce512fbe9d6be897a0cffc794ef
"Gauntlet (Japan) (En,Ja)",SEGA MEGA DRIVE,(C)T-48 1993.SEP,GAUNTLET        (C)ATARI GAMES  (C)TENGEN,GAUNTLET 4      (C)ATARI GAMES  (C)TENGEN,GM,T-48123,0,14265 (0x37B9),JUE,af2abf9619b8854c6caa623a7fec8665d8eeca36bddddd6a8ce29691059bdf2d
"Gauntlet IV (USA, Europe) (En,Ja)",SEGA GENESIS,(C)T-48 1993.AUG,GAUNTLET 4,GAUNTLET 4,GM,T-48216,0,42009 (0xA419),UE,58788dd8f8de5c8846c455339e53d34847846ca7a8428b0c92aab706f9f4bf8a
Gemfire (USA),SEGA MEGA DRIVE,(C)T-76 1992.MAR,ロイヤルブラッド,GEMFIRE,GM,T-76036,10,46332 (0xB4FC),U,f9c4cb88dbc24f51228679e6611f4cb38339ba8dab54a0a719cf2acf00a9c226
"General Chaos (USA, Europe)",SEGA GENESIS,(C)T-50 1993.AUG,General Chaos,General Chaos,GM,T-50626,0,65329 (0xFF31),UEJ,a603a321352d808867f2959aaa92a0ac94a4ae811c7fa4ea64b1865d203b906d
General Chaos Daikonsen (Japan),SEGA MEGA DRIVE,(C)T-50 1994.JAN,GENERAL CHAOS  DAI-KONSEN,GENERAL CHAOS,GM,T-106253-00,(unknown),32893 (0x807D),UJ,b875b4b90b95d38638e9fb1265efcd62caf3286d49ba8667cddeaf3c1b5983e6
"Generations Lost (USA, Europe)",SEGA GENESIS,(C)T-48 1994.AUG,Generations Lost,Generations Lost,GM,T-48326,0,59713 (0xE941),JUE,1c39a10a3a9825a0c9eeed86881954c9604e4921cf1f6e95b0c48055843533c9
Genghis Khan II - Clan of the Gray Wolf (USA),SEGA GENESIS,(C)T-76 1993.JUL,蒼き狼と白き牝鹿・元朝秘史,Genghis Khan Ⅱ CLAN OF THE GRAY WOLF,GM,T-76066,0,0 (0x0000),U,94efa72e970266710995b489a1d6b88e1a03635a230b41d9a5cd2268757f25d4
George Foreman's KO Boxing (Europe),SEGA GENESIS,(C)T-81 1992.NOV,GEORGE FOREMAN'S KO BOXING,GEORGE FOREMAN'S KO BOXING,GM,T-081116,0,33274 (0x81FA),E,13132459402299315b75a8c0c14eb19a3008a564d2af2479a5f5a8b8300aeb8c
George Foreman's KO Boxing (USA),SEGA GENESIS,(C)T-81 1992.OCT,GEORGE FOREMAN'S KO BOXING,GEORGE FOREMAN'S KO BOXING,GM,T-081116,0,57986 (0xE282),U,f651d0e0c1b67caa15b60fd66e459f205f3677e1254af56ada0830c9e5d8a306
Ghostbusters (Japan),SEGA MEGA DRIVE,(C)SEGA 1990.APR,GHOST BUSTERS,GHOST BUSTERS,GM,00004030-00,(unknown),47981 (0xBB6D),JUE,db31f9607d502c2d6bdf03e720dc222c3715b4571048da1f93bd08a2ea27a5d2
"Ghostbusters (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1990.MAY,GHOST BUSTERS,GHOST BUSTERS,GM,00004030-01,(unknown),38450 (0x9632),JUE,ad18b994e0a38124ab3565709011803ab4acf1e23592bb58473dfb88b999a49f
"Ghouls'n Ghosts (Japan, USA) (En)",SEGA MEGA DRIVE,(C)SEGA 1989.JUN,DAI MAKAIMURA,GHOULS'N GHOSTS,GM,00004013-01,(unknown),49095 (0xBFC7),JUE,907ced1554c9a57eb20691706e53d7d022e47648f25936d236134623b00b90d6
Ghouls'n Ghosts (World) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1989.JUN,DAI MAKAIMURA,GHOULS'N GHOSTS,GM,00004013-02,(unknown),60398 (0xEBEE),JUE,7f35f9f306a0b10281196cba711a7f9273b5ef21c5b7a4a69f567c9c8531122b
Ghouls'n Ghosts (World) (Rev A) (Sega Channel),SEGA MEGA DRIVE,(C)SEGA 1989.JUN,DAI MAKAIMURA,GHOULS'N GHOSTS,GM,00004013-01,(unknown),49095 (0xBFC7),JUE,a286a7102829601055cdf3ec2ddfb9e39f50f62972e5ea942a232623c39e649e
Global Gladiators (Europe),SEGA GENESIS,(C)VRGN 1992.OCT,GLOBAL GLADIATOR,GLOBAL GLADIATOR,GM,T-70066,0,38452 (0x9634),E,ecd8511021c82206411f0ddfc77dfcc281abe202bd3093014b7851d39afb6bd8
G-LOC - Air Battle (World),SEGA GENESIS,(C)SEGA 1992.NOV,G-LOC,G-LOC,GM,MK-1120,0,0 (0x0000),JUE,892069902b53325e1eade44321440edce48b74d2cf077bc0696d25c3005374e2
G-LOC - Air Battle (World) (1992-11-23) (Sega Channel),SEGA GENESIS,(C)SEGA 1992.NOV,G-LOC,G-LOC,GM,MK-1120,0,41249 (0xA121),JUE,0ce53944e1127940f34cd5f3ededb25b743997751c274fe3c13a84c74fbcf2f9
Go Net (Japan),SEGA MEGA DRIVE,(C)SEGA 1992.JUN,GO-NET,(unknown),GM,4533,(unknown),0 (0x0000),J,4d5af65fe83ac3840721127ff84a6ba3b36bd584cb2c8c8f93fbd48f2fe83b09
Gods (Europe),SEGA MEGA DRIVE,(C)T-1191993.SEP,GODS,GODS,GM,T-119036-50,(unknown),34332 (0x861C),JUE,45b63bec0af6eb05e00b16a54f1df0a776d014f2e825d862e3428067fd5be6aa
Gods (Japan),SEGA MEGA DRIVE,(C)SEGA 1992.JUN,GODS,GODS,GM,T-85013,0,26398 (0x671E),J,88580c9a9c759025d2cdec5bd3b32af5265254bb6683e37977fa0ad44f166dcc
Gods (USA),SEGA GENESIS,(C)SEGA 1992.JUN,GODS,GODS,GM,T87016,0,59402 (0xE80A),U,f7e577a66ed4d9901cb44ed0620e61439527cfbd854bc4626173b17e30fa6be0
Golden Axe (World),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,ＧＯＬＤＥＮ　ＡＸＥ,ＧＯＬＤＥＮ　ＡＸＥ,GM,00054018-00,(unknown),60674 (0xED02),(unknown),f141e79401280c89eb2ce49f9130d15250c68ae590ff6d5546fc19b493d07905
Golden Axe (World) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,ＧＯＬＤＥＮ　ＡＸＥ,ＧＯＬＤＥＮ　ＡＸＥ,GM,00054018-01,(unknown),49531 (0xC17B),(unknown),e9f5340ecf8151253eb6fcda136c4d4d8940e373340ce2eeb2bf24f9f6c1004d
Golden Axe (World) (Rev B) (Sega Smash Pack),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,ＧＯＬＤＥＮ　ＡＸＥ,ＧＯＬＤＥＮ　ＡＸＥ,GM,00054018-02,(unknown),63122 (0xF692),(unknown),940b8b5c8be9cb8856ef120e869bc35917e79257addcc36f1fc72158dfd7f155
Golden Axe II (World),SEGA MEGA DRIVE,(C)SEGA 1991.OCT,GOLDEN AXE 2,GOLDEN AXE 2,GM,00001122-00,(unknown),19561 (0x4C69),JUE,5fb310a3b4f25121d4340ad9e7d1ca8a305032d74a6a14b151d6911e41dd1005
Golden Axe III (Europe) (Virtual Console),SEGA MEGA DRIVE,(C)SEGA 1993.JUN,GOLDEN AXE 3,GOLDEN AXE 3,GM,00004093-00,(unknown),65533 (0xFFFD),E,a8bfde13ef219992fa6b72a9ed02fea91534940cd7cbf19d2e61eb5d22a195ff
Golden Axe III (Japan) (En),SEGA MEGA DRIVE,(C)SEGA 1993.MAY,GOLDEN AXE 3,GOLDEN AXE 3,GM,00004093-00,(unknown),60165 (0xEB05),JE,bee1df2f62794c14eedbf8bd0a61da5d9944c0a8e01807fdd3cad812e02638c7
Goofy's Hysterical History Tour (USA),SEGA GENESIS,(C)T-86 1993.NOV,GOOFY,GOOFY,GM,T-86066,0,17126 (0x42E6),U,2ff25184c0921b636f66d5105b50ddad10725f956b50259bbae7b2cee9502d52
Gouketsuji Ichizoku (Japan),SEGA MEGA DRIVE,(C)T-1441994.SEP,豪血寺一族,POWER INSTINCT,GM,T-144013-00,(unknown),2917 (0x0B65),J,4d2e2e0bea8c42dfa5571e389b89d1e5e5dadf055063642fb0efcb890c5990e7
"Granada (Japan, USA) (En)",SEGA MEGA DRIVE,(C)T-32 1990.NOV,GRANADA,GRANADA,GM,T-32023,0,63026 (0xF632),JU,7c5a7feaf69c1f177cc3515a2f514eeff9327bcc2745ecc951052b62cf0d910e
"Granada (Japan, USA) (En) (Rev A)",SEGA MEGA DRIVE,(C)T-32 1990.NOV,GRANADA,GRANADA,GM,T-32023,1,56810 (0xDDEA),JU,75d47feae6e52ca4d64eb78bb4be0f2b53f9be7c1d64e83dddc8654762217d37
GrandSlam - The Tennis Tournament (Europe),SEGA MEGA DRIVE,(C)T-49 1992.MAR,ｸﾞﾗﾝﾄﾞ ｽﾗﾑ,GRAND SLAM,GM,MK-1217,0,53080 (0xCF58),E,4d5d4d074f3e7426f783aeb0a5c4d8d87cd2efcb30d326a64f41ea96716e9052
GrandSlam - The Tennis Tournament '92 (Japan),SEGA MEGA DRIVE,(C)T-49 1992.MAR,ｸﾞﾗﾝﾄﾞ ｽﾗﾑ,GRAND SLAM,GM,T-49133,0,53190 (0xCFC6),J,6af6a966c221944449470ac9bf430066aba53d976a8959fde9a3a0df50610d17
