No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
"Adventures of Mighty Max, The (USA)",SEGA GENESIS,(C)T-16 1994.DEC,MIGHTY MAX,MIGHTY MAX,GM,T-164056-00,(unknown),55357 (0xD83D),U,0a73f92065950d9ad253ee3f2ccbc2ff743579cd12b31566163ea8ab8b8773db
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",SEGA GENESIS,(C)T-86 1993.JUN,ROCKY AND       BULLWINKLE AND  FRIENDS,ROCKY AND       BULLWINKLE AND  FRIENDS,GM,T-86056,0,42978 (0xA7E2),U,16ba8cc3c641498e4333c99795f58edf33c06a1e6c60c62eb031dacac2d7ec9b
Aero Blasters (Japan),SEGA MEGA DRIVE,(C)T-33 1989.JAN,AERO BLASTERS,(unknown),GM,T-33013,0,43636 (0xAA74),JU,97d6241f014ff726e25c0a54d25b655faab6ca5b5e93ff328f5b40ef54576e39
Aero the Acro-Bat (Europe),SEGA GENESIS,(C)T-15 1993.JUN,AERO THE ACROBAT,AERO THE ACROBAT,GM,T-15056,50,45091 (0xB023),E,27964e8e954e0b6107962f938d6e0f3c71dc0dd1232e65624948d197bfd071c3
Aero the Acro-Bat (USA),SEGA GENESIS,(C)T-15 1993.JUN,AERO THE ACROBAT,AERO THE ACROBAT,GM,T-15056,0,0 (0x0000),U,6e845533d3d41dd10c7a0c7fbae5ab1fd2669f925cc5903954fb485859234b79
Aero the Acro-Bat 2 (Europe),SEGA MEGA DRIVE,(C)T-15 1994.JUL,AERO THE ACROBAT 2,AERO THE ACROBAT 2,GM,T-15166,50,38794 (0x978A),E,370917992e745b38a3e9f0f16b33bf2c1b3070701721ec00329aca1573e84536
Aero the Acro-Bat 2 (USA),SEGA GENESIS,(C)T-15 1994.JUL,AERO THE ACROBAT 2,AERO THE ACROBAT 2,GM,T-15166,0,61013 (0xEE55),U,1665e5d6dd19e6b72fcd8b3e2d483322967e144a19b0d8f36216f6c7cc6caaa7
Aerobiz (USA),SEGA MEGA DRIVE,(C)T-76 1992.DEC,ｴｱｰﾏﾈｼﾞﾒﾝﾄ,AEROBIZ,GM,T-76046,10,5463 (0x1557),U,ba9cf5e676036af7ddab25f1a0d6864fcd56d08b218926de668bdbce577a9d7d
Aerobiz Supersonic (USA),SEGA GENESIS,(C)T-76 1994.DEC,エアマネジメント２,AEROBIZ          SUPERSONIC,GM,T-76136,0,17952 (0x4620),U,d1d12c8696baf50b62d6a6e82f167915305ee39296c0124a148fcd4b28581561
After Burner II (Japan),SEGA MEGA DRIVE,"(C)T-17 1989,DEC",ｱﾌﾀｰﾊﾞｰﾅｰII,AFTER BURNERII,GM,T-17013,0,10347 (0x286B),J,a22dace12fe31e25724157b8e6124c29ad5cc990ba46d7971cf404fef16a0d3c
"After Burner II (USA, Europe)",SEGA MEGA DRIVE,"(C)T-17 1989,DEC",ｱﾌﾀｰﾊﾞｰﾅｰII,AFTER BURNERII,GM,MK-1104,0,47824 (0xBAD0),U,f68818ae1a616562e4c7dc77932bbc9f6bc4e42229f5b5d5796d4b2c2cc3f334
Air Buster (USA),SEGA GENESIS,(C)T-33 1991.JAN,AIR BUSTER,AIR BUSTER,GM,T-33026,0,63239 (0xF707),U,5ccc81dfc2d4ca9a8fb6a9a029933be18b43fe89972750aab4a62b7bacf26189
