Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Keio Flying Squadron (USA),SEGA GENESIS,(C)T-60,1994.OCT,KEIO YUUGEKITAI,KEIO FLYING SQUADRON,GM,T-60185,0,J6        ,U               
Keiou Yuugekitai (Japan),SEGA MEGA DRIVE,(C)T-60,1993.AUG,KEIO YUUGEKITAI,KEIO YUUGEKITAI,GM,T-60114,0,J         ,J               
Keiou Yuugekitai (Japan) (Demo),SEGA MEGA DRIVE,(C)T-60,1993.AUG,KEIO YUUGEKITAI,KEIO YUUGEKITAI,GM,T-60114,0,J         ,J               
Kids on Site (Europe) (RE-1),SEGA MEGA DRIVE,(C)T-162,1994.NOV,KIDS ON SITE,KIDS ON SITE,GM,T-162015,50,J6        ,E               
Kids on Site (USA),SEGA GENESIS,(C)T-162,1994.NOV,KIDS ON SITE,KIDS ON SITE,GM,T-162015,0,J6        ,U               
"Lawnmower Man, The (Europe)",SEGA GENESIS,(C)T-16,1994,THE LAWNMOWER MAN,THE LAWNMOWER MAN,GM,T-160015,1,J         ,U               
"Lawnmower Man, The (Europe) (Demo)",SEGA MEGA DRIVE,(C)T-16,1994,THE LAWNMOWER MAN,THE LAWNMOWER MAN,GM,T-160015,50,J         ,E               
"Lawnmower Man, The (USA)",SEGA GENESIS,(C)T-16,1994,THE LAWNMOWER MAN,THE LAWNMOWER MAN,GM,T-160015,1,J         ,U               
Lethal Enforcers (Europe),SEGA MEGA DRIVE,(C)T-95,1993.OCT,LETHAL ENFORCERS,LETHAL ENFORCERS,GM,T-95015,0,J         ,E               
Lethal Enforcers (Japan),SEGA MEGA DRIVE,(C)T-95,1993.OCT,LETHAL ENFORCERS,LETHAL ENFORCERS,GM,T-95014,0,J         ,J               
Lethal Enforcers (USA),SEGA GENESIS,(C)T-95,1993.OCT,LETHAL ENFORCERS,LETHAL ENFORCERS,GM,T-95015,0,J         ,U               
Lethal Enforcers (USA) (Alt),SEGA GENESIS,(C)T-95,1993.OCT,LETHAL ENFORCERS,LETHAL ENFORCERS,GM,T-95015,0,J         ,U               
Lethal Enforcers II - Gun Fighters (Europe),SEGA MEGA DRIVE,(C)T-95,1994.OCT,LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,GM,T-95025,0,J         ,E               
Lethal Enforcers II - Gun Fighters (Europe) (Beta) (1994-09-23),SEGA MEGA DRIVE,(C)T-95,1994.OCT,LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,GM,T-95025,0,J         ,E               
Lethal Enforcers II - Gun Fighters (Europe) (Demo),SEGA MEGA DRIVE,(C)T-95,1994.OCT,LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,GM,T-95025,0,J         ,E               
Lethal Enforcers II - Gun Fighters (USA),SEGA GENESIS,(C)T-95,1994.OCT,LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,GM,T-95025,0,J         ,U               
Lethal Enforcers II - The Western (Japan),SEGA MEGA DRIVE,(C)T-95,1994.OCT,LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,GM,T-95034,0,J         ,J               
Links - The Challenge of Golf (USA),SEGA GENESIS,(C)T-70,1994.SEP,"LINKS, THE CHALLENGE OF GOLF","LINKS, THE CHALLENGE OF GOLF",GM,T-70095,0,JM        ,U               
Links - The Challenge of Golf (USA) (RE),SEGA GENESIS,(C)T-70,1994.SEP,"LINKS, THE CHALLENGE OF GOLF","LINKS, THE CHALLENGE OF GOLF",GM,T-70095,0,JM        ,U               
Loadstar - The Legend of Tully Bodine (USA) (Beta),SEGA GENESIS,(C)T-153,94.OCT,LOADSTAR - THE LEGEND OF TULLY,LOADSTAR - THE LEGEND OF TULLY,GM,MK-0015,0,J         ,U               
"Loadstar - The Legend of Tully Bodine (USA, Brazil)",SEGA GENESIS,(C)T-153,94.OCT,LOADSTAR - THE LEGEND OF TULLY,LOADSTAR - THE LEGEND OF TULLY,GM,T-153015,0,J6        ,U               
Lords of Thunder (Europe),SEGA MEGA DRIVE,(C)T-14,1995.Apr,WINDS OF THUNDER,LORDS OF THUNDER,GM,T-143035,50,J         ,E               
Lords of Thunder (USA),SEGA GENESIS,(C)SEGA,1995.MAR,WINDS OF THUNDER,LORDS OF THUNDER,GM,MK-4449,,J         ,U               
Lunar - Eternal Blue (Japan),SEGA MEGA DRIVE,(C)T-45,1994.NOV,LUNAR2,LUNAR2,GM,T-45074,0,J         ,J               
Lunar - Eternal Blue (Japan) (Demo),SEGA MEGA DRIVE,(C)T-45,1994.NOV,ルナ　～エターナル・ブルー～,LUNAR_2,GM,T-45054,0,J         ,U               
Lunar - Eternal Blue (Japan) (Rev A),SEGA MEGA DRIVE,(C)T-45,1994.DEC,LUNAR2,LUNAR2,GM,T-45074,1,J         ,J               
Lunar - Eternal Blue (USA) (RE),SEGA GENESIS,T-127,1995.AUG,LUNAR -ETERNAL BLUE-,LUNAR -ETERNAL BLUE-,GM,T-127045,0,J         ,U               
Lunar - The Silver Star (Japan),SEGA MEGA DRIVE,(C)T-45,1992.JUN,ルナ　～ザ・シルバー・スター～,,GM,T-45014,0,JC        ,J               
Lunar - The Silver Star (USA),SEGA GENESIS,(C)T-12,1993.SEP,LUNAR,LUNAR,GM,T-127015,0,J         ,U               
Lunar - The Silver Star (USA) (RE),SEGA GENESIS,(C)T-12,1993.SEP,LUNAR,LUNAR,GM,T-127015,0,J         ,U               
Mad Dog II - The Lost Gold (USA),SEGA GENESIS,(C)T-111,1995.MAR,MAD DOG II THE LOST GOLD,MAD DOG II THE LOST GOLD,GM,T-111065,0,JMG       ,U               
Mad Dog McCree (USA),SEGA GENESIS,(C)T-111,1993.OCT,MAD DOG MCCREE,MAD DOG MCCREE,GM,T-11105,0,JMG       ,U               
Mahou no Shoujo - Silky Lip (Japan),SEGA MEGA DRIVE,(C)T-49,1992.MAR,魔法の少女　シルキー・リップ,Magical princessSilky Lip,GM,T-49024,0,J         ,J               
Make My Video - INXS (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,MAKE MY VIDEO -- INXS,MAKE MY VIDEO -- INXS,GM,MK-4902,1,J         ,E               
Make My Video - INXS (USA),SEGA GENESIS,(C)SEGA,1993.JAN,MAKE MY VIDEO -- INXS,MAKE MY VIDEO -- INXS,GM,MK-4902,0,J         ,U               
Make My Video - Kris Kross (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.JUN,MAKE MY VIDEO -- KRIS KROSS,MAKE MY VIDEO -- KRIS KROSS,GM,MK-4901,0,J         ,E               
Mansion of Hidden Souls (USA),SEGA GENESIS,(C)T-23,1994.JAN,MANSION OF HIDDEN SOULS,MANSION OF HIDDEN SOULS,GM,T-23015,0,JM        ,U               
