Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Prize Fighter (USA) (Disc 1) (Alt),SEGA GENESIS,(C)SEGA,1993.NOV,Prize Fighter,Prize Fighter,GM,MK-4206,0,J6        ,U               
Prize Fighter (USA) (Disc 2),SEGA GENESIS,(C)SEGA,1993.NOV,Prize Fighter,Prize Fighter,GM,MK-4206,0,J6        ,U               
Pro Yakyuu Super League CD (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.SEP,PUROYAKYUU      SUPER-LEAGUE C,PUROYAKYUU      SUPER-LEAGUE C,GM,G-6010-0,,J         ,J               
Psychic Detective Series Vol. 3 - Aya (Japan),SEGA MEGA DRIVE,(C)T-84,1992.SEP,AYA PSYCHIC DETECTIVE SERIES V,AYA PSYCHIC DETECTIVE SERIES V,GM,T-84024,0,J         ,J               
Psychic Detective Series Vol. 3 - Aya (Japan) (Demo),SEGA MEGA DRIVE,(C)T-84,1992.SEP,AYA PSYCHIC DETECTIVE SERIES V,AYA PSYCHIC DETECTIVE SERIES V,GM,T-84024,0,J         ,J               
Psychic Detective Series Vol. 4 - Orgel (Japan),SEGA MEGA DRIVE,(C)T-84,1993.SEP,ORGEL PSYCHIC DETECTIVE SERIES,ORGEL PSYCHIC DETECTIVE SERIES,GM,T-84034,0,J         ,J               
Psygnosis Christmas Sampler (Europe),SEGA MEGA DRIVE,(C)T-999,1993.NOV,PUGGSY CD,PUGGSY CD,GM,T-99999,50,J         ,  E             
Psygnosis Christmas Sampler (Europe) (Alt),SEGA MEGA DRIVE,(C)T-999,1993.NOV,PUGGSY CD,PUGGSY CD,GM,T-99999,50,J         ,  E             
Puggsy (Europe),SEGA MEGA DRIVE,(C)T-113,1993.SEP,PUGGSY CD,PUGGSY CD,GM,T-113035,0,J         ,  E             
Puggsy (USA),SEGA GENESIS,(C)T-113,1993.SEP,PUGGSY CD,PUGGSY CD,GM,T-113035,0,J         , U              
Quiz Scramble Special (Japan) (Rev B),SEGA MEGA DRIVE,(C)SEGA,1992.MAR,QUIZ SCRAMBLE SPECIAL,,GM,T-06003,0,J         ,J               
Quiz Tonosama no Yabou (Japan),SEGA MEGA DRIVE,(C)SIMS,1992.SEP,CAPCOM NO QUIZ   TONOSAMA NO,,GM,44024,0,J         ,J               
Racing Aces (USA),SEGA GENESIS,(C)SEGA,1993.NOV,Racing Aces,Racing Aces,GM,MK-4607,0,J6        ,U               
Radical Rex (USA),SEGA GENESIS,(C)T130,1994.NOV,RADICAL REX,RADICAL REX,GM,T-130035,1,J         ,U               
Ranma 1-2 - Byakuranaika (Japan),SEGA MEGA DRIVE,T-25,1992.EPI,MEGA-CD RANMA1/2,MEGA-CD RANMA1/2,GM,T-25014,0,J         ,J               
RDF - Global Conflict (USA),SEGA GENESIS,(C)T-86,1995.JAN,RDF:GLOBAL CONFLICT,RDF:GLOBAL CONFLICT,GM,T-86025,0,J         ,U               
Record of Lodoss War (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.MAY,ロードス島戦記　～英雄戦争～,RECORD OF LODOSS WAR,GM,G-6024 ,0,J         ,J               
Record of Lodoss War (Japan) (Demo),SEGA MEGA DRIVE,(C)SEGA,1994.APR,ロードス島戦記　～英雄戦争～　【体験版】,,AA,A-00000,0,JC        ,J               
Revenge of the Ninja (USA),SEGA GENESIS,(C)T-49,1994.JAN,NINJA HAYATE,REVENGE OF THE  NINJA,GM,T-49035,0,J         ,U               
Revengers of Vengeance (USA),SEGA GENESIS,(C)T-22,1994.SEP,BATTLE FANTASY,REVENGERS OF VENGEANCE,GM,T-22035,0,J         ,U               
Rise of the Dragon (USA),SEGA GENESIS,(C)SEGA,1993.MAR,RISE OF THE DRAGON,RISE OF THE DRAGON,GM,MK-4301,0,JM        ,U               
Rise of the Dragon (USA) (Rerelease) (RE),SEGA GENESIS,(C)SEGA,1994.MAR,RISE OF THE DRAGON,RISE OF THE DRAGON,GM,T-110035,0,JM        ,U               
Rise of the Dragon - A Blade Hunter Mystery (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.JUL,RISE OF THE DRAGON,RISE OF THE DRAGON,GM,G-6002-0,,JM        ,J               
Road Avenger (Europe),SEGA MEGA DRIVE,(C)T-32,1993.FEB,ROAD BLASTER FX,ROAD AVENGER,MK,44024,0,J         ,JUE             
Road Avenger (USA),SEGA GENESIS,(C)T-32,1993.FEB,ROAD AVENGER,ROAD BLASTER FX,GM,T-6207,0,J         ,JU              
Road Blaster FX (Japan),SEGA MEGA DRIVE,(C)T-32,1992.DEC,ROAD BRASTER FX,ROAD BRASTER FX,GM,T-32124,1,J         ,J               
Road Rash (USA),SEGA GENESIS,(C)EA 19,95.MAR,ROAD RASH,ROAD RASH,GM,T-50085,,J         ,U               
Robo Aleste (Europe),SEGA MEGA DRIVE,(C)T-66,1993.MAR,,ROBO ALESTE,GM,MK-4416,0,J         ,E               
Robo Aleste (USA),SEGA MEGA DRIVE,(C)T-66,1993.MAR,,ROBO ALESTE,GM,T-48015,0,J         ,U               
Samurai Shodown (Europe),SEGA MEGA DRIVE,(C)T-60,1995.JUN,Samurai Shodown,Samurai Shodown,GM,T-60175,50,J6        ,E               
Samurai Shodown (Europe) (Demo),SEGA MEGA DRIVE,(C)T-60,1995.APR,Samurai Shodown,Samurai Spirits,GM,T-60175,50,J6        ,E               
Samurai Shodown (USA) (RE),SEGA GENESIS,(C)T-60,1995.JUN,Samurai Shodown,Samurai Shodown,GM,T-60175,0,J6        ,U               
"San Diego Zoo Presents... The Animals!, The (Europe)",SEGA MEGA DRIVE,(C)T-158,1994.JUN,THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,GM,T-158015,0,J         ,E               
"San Diego Zoo Presents... The Animals!, The (USA)",SEGA GENESIS,(C)T-87,1994.APR,THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,GM,T-87015,0,J         ,U               
Sangokushi III (Japan),SEGA MEGA DRIVE,(C)T-76,1993.FEB,三國志Ⅲ        ECTION,ECTION,GM,T-76014,0,J,J
"Secret of Monkey Island, The (Japan)",SEGA MEGA DRIVE,(C)T-60,1993.8,MONKEY ISLAND,MONKEY ISLAND,GM,T-60044,0,JCBM      ,J               
"Secret of Monkey Island, The (USA) (Limited Run Games)",SEGA GENESIS,(C)T-60,1993.8,MONKEY ISLAND,MONKEY ISLAND,GM,T-60035,0,JCBM      ,U               
"Secret of Monkey Island, The (USA) (RE)",SEGA GENESIS,(C)T-60,1993.8,MONKEY ISLAND,MONKEY ISLAND,GM,T-60035,0,JCBM      ,U               
Sega CD Demo (Japan) (Proto) (1992-05-29),SEGA MEGA DRIVE,(C)T-32,1991.DEC,DOMESTIC TITLE,OVERSEAS TITLE,GM,T-32024,1,J         ,J               
Sega Classic Arcade Collection - Limited Edition (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.SEP,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,0,J         ,J     10/09-1992
Sega Classics Arcade Collection (USA) (4-in-1) (RE),SEGA MEGA DRIVE,(C)SEGA,1992.SEP,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,0,J         ,U     10/09-1992
Sega Classics Arcade Collection (USA) (4-in-1) (RE2),SEGA MEGA DRIVE,(C)SEGA,1992.DEC,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,1,J         ,U     12/09-1992
Sega Classics Arcade Collection (USA) (5-in-1),SEGA MEGA DRIVE,(C)SEGA,1992.DEC,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,1,J         ,U     12/09-1992
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A),SEGA MEGA DRIVE,(C)SEGA,1992.DEC,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,1,J         ,E     12/09-1992
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A) (Alt),SEGA MEGA DRIVE,(C)SEGA,1992.DEC,SEGA CLASSIC,SEGA CLASSIC,GM,G-6012,1,J         ,E     12/09-1992
"Seima Densetsu 3x3 Eyes (Japan, Korea)",SEGA MEGA DRIVE,(C)SEGA,1993.JUN,SEGA 3X3EYES,SEGA 3X3EYES,GM,G-6007,0,J         ,J               
Seirei Shinseiki - Fhey Area (Japan),SEGA MEGA DRIVE,(C)T-32,1992.JAN,精霊神世紀　～フェイエリア～,FHEYAREA,GM,T-32034,1,J         ,J               
Sengoku Denshou (Japan),SEGA MEGA DRIVE,(C)T-24,1993.DEC,戦国伝承,SENGOKU,GM,T-24034,0,J         ,J               
Sensible Soccer (Europe) (Demo),SEGA MEGA-CD,(C)T-93,1994.JUN,SENSIBLE SOCCER,SENSIBLE SOCCER,GM,T-93185,0,J         ,E               
"Sensible Soccer (Europe) (En,Fr,De,It)",SEGA MEGA-CD,(C)T-93,1994.JUN,SENSIBLE SOCCER,SENSIBLE SOCCER,GM,T-93185,0,J         ,E               
Sewer Shark (Europe),SEGA GENESIS,(C)SEGA,1993.JUL,SEWER SHARK,SEWER SHARK,GM,T-06201,0,J         ,E               
Sewer Shark (USA) (Not for Resale),SEGA GENESIS,(C)SEGA,1993.JUN,SEWER SHARK,SEWER SHARK,GM,T-06201,3,J         ,U               
Sewer Shark (USA) (Not for Resale) (Alt 1),SEGA GENESIS,(C)SEGA,1993.JUN,SEWER SHARK,SEWER SHARK,GM,T-06201,3,J         ,U               
Sewer Shark (USA) (Not for Resale) (Alt 2),SEGA GENESIS,(C)SEGA,1993.JUN,SEWER SHARK,SEWER SHARK,GM,T-06201,3,J         ,U               
Shadow of the Beast II (USA),SEGA GENESIS,(C)T-113,1994.AUG,SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,GM,T-113045,1,J         ,U               
Shadow of the Beast II - Juushin no Jubaku (Japan),SEGA MEGA DRIVE,(C)T-60,1994.JUL,SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,GM,T-60034,0,J         ,J               
Shadowrun (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SHADOWRUN,,GM,T-66024,0,JM        ,J               
Sherlock Holmes - Consulting Detective (USA),SEGA MEGA DRIVE,(C)ICOM,1992.OCT,SherlockHolmes01,SherlockHolmes01,GM,T-4501,1,J         ,J               
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1993.APR,SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,GM,MK-4653,0,J         ,E               
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1993.APR,SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,GM,MK-4653,0,J         ,E               
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1),SEGA GENESIS,(C)SEGA,1993.APR,SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,GM,MK-4653,0,J         ,U               
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 2),SEGA GENESIS,(C)SEGA,1993.APR,SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,GM,MK-4653,0,J         ,U               
Shin Megami Tensei (Japan),SEGA MEGA DRIVE,(C)SIMS,1994.JAN,SIN MEGAMI        TENSEI,,GM,T-044044,0,JM6       ,J               
Shining Force CD (Europe),SEGA MEGA DRIVE,(C)SEGA,1995.FEB,SHINING FORCE CD,SHINING FORCE CD,GM,MK-4656,0,J         ,E               
Shining Force CD (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.JUL,SHINING FORCE CD,SHINING FORCE CD,GM,G-6036,0,J         ,J               
Shining Force CD (USA) (3R),SEGA GENESIS,(C)SEGA,1995.FEB,SHINING FORCE CD,SHINING FORCE CD,GM,MK-4656,0,J         ,U               
"Shining Force CD (USA) (5R, 6R)",SEGA GENESIS,(C)SEGA,1995.FEB,SHINING FORCE CD,SHINING FORCE CD,GM,MK-4656,0,J         ,U               
Silpheed (Europe),SEGA MEGA DRIVE,(C)T-45,1993.OCT,SILPHEED,SILPHEED,GM,MK-4423,0,J         ,E               
Silpheed (Japan),SEGA MEGA DRIVE,(C)T-45,1993.JUN,シルフィード,,GM,T-45054,0,J         ,J               
Silpheed (Japan) (Demo),SEGA MEGA DRIVE,(C)T-45,1993.JUN,シルフィード,,GM,T-45054,0,J         ,J               
Silpheed (Japan) (Demo) (Fixed Dump),SEGA MEGA DRIVE,(C)T-45,1993.JUN,シルフィード,,GM,T-45054,0,J         ,J               
Silpheed (USA),SEGA GENESIS,(C)T-45,1993.AUG,シルフィード,SILPHEED,GM,MK-4419,0,J         ,U               
SimEarth (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.JAN,SIM EARTH,SIM EARTH,GM,G-6008,0,J         ,J               
Sing!! Sega Game Music Presented by B. B. Queens (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.FEB,QUIZ SCRAMBLE SPECIAL,,GM,T-60064,0,J         ,J               
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Demo),SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,50,J         ,E               
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 2) (Juice),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 2) (Juice) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 4) (Smash),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,50,J         ,8
Slam City with Scottie Pippen (Europe) (Disc 4) (Smash) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,50,J         ,8
Slam City with Scottie Pippen (USA) (Disc 1) (Fingers),SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
Slam City with Scottie Pippen (USA) (Disc 1) (Fingers) (Sega CD 32X),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,0,J         ,4
Slam City with Scottie Pippen (USA) (Disc 2) (Juice) (Sega CD 32X),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,0,J         ,4
Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog),SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog) (Sega CD 32X),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,0,J         ,4
Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (RE-1),SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (Sega CD 32X),SEGA GENESIS,(C)T-162,1995.FEB,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-16204F,0,J         ,4
"Slam City with Scottie Pippen (USA, Brazil) (Disc 1) (Fingers) (RE-1)",SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
"Slam City with Scottie Pippen (USA, Brazil) (Disc 2) (Juice) (RE-1)",SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
"Slam City with Scottie Pippen (USA, Brazil) (Disc 3) (Mad Dog) (RE-1)",SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
"Slam City with Scottie Pippen (USA, Brazil) (Disc 4) (Smash)",SEGA GENESIS,(C)T-162,1994.NOV,Slam City with Scottie Pippen,Slam City with Scottie Pippen,GM,T-162035,0,J         ,U               
"Smurfs, The (Europe) (En,Fr,De,Es,It)",SEGA GENESIS,(C)T-151,1994.DEC,SMURFS,SMURFS,GM,T-151015,0,J         ,U               
Snatcher (Europe),SEGA MEGA DRIVE,(C)T-95,1994.NOV,SNATCHER,SNATCHER,GM,T-95035,0,J         ,J               
Snatcher (Europe) (Beta) (1994-10-07),SEGA GENESIS,(C)T-95,1994.OCT,SNATCHER,SNATCHER,GM,T-95035,0,J         ,J               
Snatcher (USA),SEGA GENESIS,(C)T-95,1994.OCT,SNATCHER,SNATCHER,GM,T-95035,0,J         ,J               
"Software Toolworks' Star Wars Chess, The (Europe)",SEGA MEGA DRIVE,(C)T-158,1994.JUN,SEGA CD BEEF BOOT   SYSTEM BOOT DISK,SOFTWARE TOOLWORKS PRESENTS STARWARS CHESS,GM,T-158025,0,J         ,E               
"Software Toolworks' Star Wars Chess, The (USA)",SEGA GENESIS,(C)T-87,1994.JUN,SEGA CD BEEF BOOT   SYSTEM BOOT DISK,SOFTWARE TOOLWORKS PRESENTS STARWARS CHESS,GM,T-87035,0,J         ,U               
"Software Toolworks' Star Wars Chess, The (USA) (Alt)",SEGA GENESIS,(C)T-87,1994.JUN,SEGA CD BEEF BOOT   SYSTEM BOOT DISK,SOFTWARE TOOLWORKS PRESENTS STARWARS CHESS,GM,T-87035,0,J         ,U               
Sol-Feace (Europe),SEGA MEGA DRIVE,(C)T-32,1992.OCT,SOL-FEACE,SOL-FEACE,GM,MK-4404,,J         ,U               
Sol-Feace (Europe) (Alt),SEGA MEGA DRIVE,(C)T-32,1992.OCT,SOL-FEACE,SOL-FEACE,GM,MK-4404,,J         ,U               
Sol-Feace (Japan),SEGA MEGA DRIVE,(C)T-32,1991.DEC,ソル・フィース,SOL-FEACE,GM,T-32024,1,J         ,J               
Sol-Feace (USA) (RE),SEGA MEGA DRIVE,(C)T-32,1992.OCT,SOL-FEACE,SOL-FEACE,GM,MK-4404,,J         ,U               
Sol-Feace (USA) (RE2),SEGA MEGA DRIVE,(C)T-32,1992.OCT,SOL-FEACE,SOL-FEACE,GM,MK-4404,,J         ,U               
Sonic CD (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,E               
Sonic CD (Europe) (Beta) (1993-08-06),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,G-6021,0,J         ,E               
Sonic CD (Europe) (Beta) (1993-08-19),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,E               
Sonic CD (USA),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic CD (USA) (Alt),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic CD (USA) (Beta) (1993-10-12),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic CD (USA) (RE125),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic CD (USA) (RE125) (Alt 1),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic CD (USA) (RE125) (Alt 2),SEGA GENESIS,(C)SEGA,1993.OCT,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,MK-4407,0,J         ,U               
Sonic MegaMix (USA) (Unl),SEGA GENESIS,(C)TMM,2008.AUG,SONIC 1 MEGAMIX,SONIC 1 MEGAMIX,GM,TMM-00000,0,J,U               
Sonic the Hedgehog CD (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,G-6021,0,J         ,J               
Sonic the Hedgehog CD (Japan) (Beta) (1993-07-12),SEGA MEGA DRIVE,(C)SEGA,1993.APR,CD-SONIC THE HEDGEHOG,CD-SONIC THE HEDGEHOG,XX,0,0,J         ,J               
Sonic the Hedgehog CD (Japan) (Beta) (1993-08-01),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,GM,G-6021-10,105,J         ,J               
Sonic the Hedgehog CD (Japan) (Demo),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,SONIC THE HEDGEHOG-CD SAMPLE,SONIC THE HEDGEHOG-CD SAMPLE,GM,G-6021,0,J         ,J               
SoulStar & Battlecorps (Europe) (Demo),SEGA MEGA DRIVE,(C)T-60,1993.SEP,DEMO_DISK,DEMO_DISK,GM,T-0002-0,,J         ,E               
SoulStar (Europe) (Demo),SEGA MEGA DRIVE,(C)T-60,1993.SEP,SOULSTAR,SOULSTAR,GM,T-0002-0,,J         ,E               
"SoulStar (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-60,1994.OCT,SOULSTAR,SOULSTAR,GM,T-115035,0,J6        ,E               
SoulStar (Japan),SEGA MEGA DRIVE,(C)T-60,1994.DEC,SOULSTAR,SOULSTAR,GM,T-60184,0,J6        ,J               
SoulStar (USA),SEGA GENESIS,(C)T-115,1994.NOV,SOULSTAR,SOULSTAR,GM,T-115035,0,J6        ,U               
Space Ace (USA),SEGA MEGADRIVE,(C)T-121,,SPACE ACE,SPACE ACE,GM,T-121025,0,J         ,U               
"Space Adventure, The - Cobra - The Legendary Bandit (Europe)",SEGA MEGA DRIVE,(C)T-14,1995.MAY,THE SPACE ADVENTURE COBRA,THE SPACE ADVENTURE COBRA,GM,T-143015,50,J         ,E               
"Space Adventure, The - Cobra - The Legendary Bandit (USA)",SEGA GENESIS,(C)T-14,1995.APR,THE SPACE ADVENTURE COBRA,THE SPACE ADVENTURE COBRA,GM,T-143015,0,J         ,U               
Star Wars - Rebel Assault (Europe),SEGA MEGA DRIVE,(C)T-60,1994.MAY,REBEL ASSAULT,REBEL ASSAULT,GM,T-60075,0,J         ,E               
Star Wars - Rebel Assault (Europe) (Demo) (Mega Power),SEGA MEGA DRIVE,(C)T-60,1994.MAY,REBEL ASSAULT,REBEL ASSAULT,GM,T-60075,0,J         ,E               
Star Wars - Rebel Assault (Europe) (Demo) (Sega Pro),SEGA MEGA DRIVE,(C)T-60,1994.MAY,REBEL ASSAULT,REBEL ASSAULT,GM,T-60075,0,J         ,E               
Star Wars - Rebel Assault (Japan),SEGA MEGA DRIVE,(C)T-60,1994.AUG,REBEL ASSAULT,REBEL ASSAULT,GM,T-60174,0,J         ,J               
Star Wars - Rebel Assault (USA),SEGA GENESIS,(C)T-60,1994.JUL,REBEL ASSAULT,REBEL ASSAULT,GM,T-60075,0,J         ,U               
Star Wars - Rebel Assault (USA) (Limited Run Games),SEGA GENESIS,(C)T-60,1994.JUL,REBEL ASSAULT,REBEL ASSAULT,GM,T-60075,0,J         ,U               
Starblade (Europe),SEGA MEGA DRIVE,(C)T-14,"1994,7",STAR BLADE,STAR BLADE,GM,T-14025,0,JMA       ,E               
Starblade (Japan),SEGA MEGA DRIVE,(C)T-14,"1994,7",STAR BLADE,STAR BLADE,GM,T-14014,0,JMA       ,J               
Starblade (USA),SEGA GENESYS,(C)T-14,"1994,7",STAR BLADE,STAR BLADE,GM,T-14025,0,JMA       ,U               
Stellar-Fire (USA),SEGA GENESIS,(C)T-110,1993.OCT,STELLAR FIRE,STELLAR FIRE,GM,T-110025,0,J         ,U               
Super Strike Trilogy (USA) (Unl),SEGA GENESIS,(C)EA,1993 FEB,,,GM,MK 0xxxx,0,J         ,J               
Supreme Warrior (Europe) (Disc 1),SEGA GENESIS,(C)T-162,1995.FEB,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-162045,50,J6        ,8
Supreme Warrior (Europe) (Disc 1) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-16203F,50,J6        ,8
Supreme Warrior (Europe) (Disc 2),SEGA GENESIS,(C)T-162,1995.FEB,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-162045,50,J6        ,8
Supreme Warrior (Europe) (Disc 2) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.FEB,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-16203F,50,J6        ,8
Supreme Warrior (USA) (Disc 1) (Fire & Earth),SEGA GENESIS,(C)T-162,1994.NOV,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-162045,0,J6        ,U               
Supreme Warrior (USA) (Disc 1) (Fire & Earth) (Alt),SEGA GENESIS,(C)T-162,1994.NOV,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-162045,0,J6        ,U               
Supreme Warrior (USA) (Disc 1) (Fire & Earth) (Sega CD 32X),SEGA 32X,(C)T-162,1995.JAN,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-16203F,0,J6        ,U               
Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu),SEGA GENESIS,(C)T-162,1994.NOV,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-162045,0,J6        ,U               
Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu) (Sega CD 32X),SEGA 32X,(C)T-162,1995.JAN,SUPREME WARRIOR,SUPREME WARRIOR,GM,T-16203F,0,J6        ,U               
Surgical Strike (Brazil) (Sega CD 32X),SEGA GENESIS,(C)SEGA,1995.SEP,SURGICAL STRIKE,SURGICAL STRIKE,GM,MK-4435,0,J         ,U               
Surgical Strike (Europe),SEGA MEGA DRIVE,(C)SEGA,1995.MAR,SURGICAL STRIKE,SURGICAL STRIKE,GM,MK-4435,0,J         ,8
Surgical Strike (Japan),SEGA MEGA DRIVE,(C)SEGA,1995.NOV,SURGICAL STRIKE,SURGICAL STRIKE,GM,G-6044,0,J         ,J               
Surgical Strike (USA),SEGA GENESIS,(C)SEGA,1995.MAR,SURGICAL STRIKE,SURGICAL STRIKE,GM,MK-4435,0,J         ,4
Surgical Strike (USA) (Alt),SEGA GENESIS,(C)SEGA,1995.MAR,SURGICAL STRIKE,SURGICAL STRIKE,GM,MK-4435,0,J         ,4
