Scene Release,File Name,Game Title,Product Number,Redump Serial 1,Redump Serial 2,Redump Serial 3,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,Aero Dancing i (Japan),AERO DANCING I,T6807M,T-6807M,,,V1.002,20010108,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,66FE,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Aero Dancing i - Jikai Saku made Matemasen (Japan),AERO DANCING I/JIKAI-SAKU MADE MATEMASEN,T6809M,T-6809M,,,V1.000,20010622,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,562A,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Aero to Jet de Dancing! (Japan) (Taikenban Disc),AERO TO JET DE DANCING,6108017,610-8017,,,V1.001,20001222,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,8C12,GD-ROM1/1,J,0799210,1ST_READ.BIN
Redump,"AeroWings (Europe) (En,Fr,De)",AEROWINGS,T40202D 50,T-40209D-50,,,V1.001,19990819,Europe,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,E650,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Redump,AeroWings (USA),AEROWINGS,T40201N,T-40201N,,,V1.002,19990811,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,7879,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Redump,"AeroWings 2 - Airstrike (Europe) (En,De)",AEROWINGS 2 AIR STRIKE,T40209D 50,T-40209D-50,,,V1.001,20000718,Europe,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,3C24,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Redump,AeroWings 2 - Airstrike (USA),AEROWINGS 2 AIR STRIKE,T40210N,T-40210N,,,V1.001,20000616,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,9326,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Redump,After... Wasureenu Kizuna (Japan),AFTER,T18706M,T-18706M,T-18705M,,V1.002,20040113,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,7EE0,GD-ROM1/1,J,0799810,1ST_READ.BIN
Redump,Aikagi - Hidamari to Kanojo no Heyagi (Japan),AIKAGI,T20130M,T-20131M,,,V1.001,20030707,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,3DCD,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Redump,Air (Japan) (Rev A),AIR,T20112M,T-20112M,,,V2.000,20010827,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,6567,GD-ROM1/1,J,0799810,1ST_READ.BIN
Redump,AirForce Delta (Japan),AIRFORCE DELTA,T9502M,T-9502M,,,V1.002,19990614,Japan/Asia,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,5A22,GD-ROM1/1,J,0799800,0.000
Redump,AirForce Delta (USA),AIRFORCE DELTA,T9501N,T-9501N,,,V1.000,19990721,USA/Canada,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,0705,GD-ROM1/1,U,0799800,0.000
Redump,Akihabara Dennou-gumi Pata Pies! (Japan),AKIHABARA DENNOUGUMI PATAPIES,HDR-0019,HDR-0019,,,V1.000,19990415,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,44FE,GD-ROM1/1,J,0019810,1ST_READ.BIN
Redump,Alice Dreams (France) (Demo) (Unl),TODC                                                                             tdEtdE,T0000,,,,V2.1.0,20020607,"Japan/Asia, USA/Canada, Europe",JP LANG,SEGA SEGAKATANA,SEGA ENTERPRISES,F2C1,CD-ROM1/1,JUE,E000F10,1ST_READ.BIN
Redump,Alice Dreams Tournament (USA) (Disc 1) (Unl),BootDreams,T0000,,,,V1.000,20161026,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,B6D8,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
Redump,Alice Dreams Tournament (USA) (Disc 2) (Unl),BootDreams,T0000,,,,V1.000,20161026,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,B6D8,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
