Title,Disc_Serial
Fantastep (Japan),SLPS-00781
Fantastic Fortune (Japan),SLPS-03214
"Fantastic Four (Europe) (En,Fr,De,Es,It)",SLES-00548
Fantastic Four (Japan),SLPS-01034
Fantastic Four (USA),SLUS-00395
Fantastic Night Dreams - Cotton Original (Japan),SLPS-02034
Farland Saga - Toki no Michishirube (Japan),SLPS-01903
Farland Story - Yottsu no Fuuin (Japan),SLPS-00797
Farland Story - Yottsu no Fuuin (Japan) (Demo),SLPM-80137
Fatal Fury - Wild Ambition (USA),SLUS-01001
Favorite Dear - Enkan no Monogatari (Japan),SLPS-03286
Favorite Dear - Junpaku no Yogensha (Japan),SLPS-02754
Favorite Dear (Japan),SLPS-01759
"Fear Effect (Europe) (En,Es,It) (Disc 1)",SLES-02166
"Fear Effect (Europe) (En,Es,It) (Disc 2)",SLES-12166
"Fear Effect (Europe) (En,Es,It) (Disc 3)",SLES-22166
"Fear Effect (Europe) (En,Es,It) (Disc 4)",SLES-32166
Fear Effect (France) (Disc 1),SLES-02167
Fear Effect (France) (Disc 2),SLES-12167
Fear Effect (France) (Disc 3),SLES-22167
Fear Effect (France) (Disc 4),SLES-32167
Fear Effect (Germany) (Disc 1),SLES-02168
Fear Effect (Germany) (Disc 2),SLES-12168
Fear Effect (Germany) (Disc 3),SLES-22168
Fear Effect (Germany) (Disc 4),SLES-32168
Fear Effect (USA) (Disc 1),SLUS-00920
Fear Effect (USA) (Disc 2),SLUS-01056
Fear Effect (USA) (Disc 3),SLUS-01057
Fear Effect (USA) (Disc 4),SLUS-01058
"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 1)",SLES-03386
"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 2)",SLES-13386
"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 3)",SLES-23386
"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 4)",SLES-33386
Fear Effect 2 - Retro Helix (USA) (Disc 1),SLUS-01266
Fear Effect 2 - Retro Helix (USA) (Disc 1) (Rev 1),SLUS-01266
Fear Effect 2 - Retro Helix (USA) (Disc 2),SLUS-01275
Fear Effect 2 - Retro Helix (USA) (Disc 2) (Rev 1),SLUS-01275
Fear Effect 2 - Retro Helix (USA) (Disc 3),SLUS-01276
Fear Effect 2 - Retro Helix (USA) (Disc 3) (Rev 1),SLUS-01276
Fear Effect 2 - Retro Helix (USA) (Disc 4),SLUS-01277
Fear Effect 2 - Retro Helix (USA) (Disc 4) (Rev 1),SLUS-01277
FEDA 2 - White Surge the Platoon (Japan),SLPS-00723
"Felony 11-79 (Europe) (En,Fr,De)",SLES-00940
Felony 11-79 (USA),SLUS-00533
Fever - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-02371
Fever 2 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-02760
Fever 3 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-02994
Fever 3 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-91475
Fever 4 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-03166
Fever 5 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-03277
Fever 5 - Sankyo Koushiki Pachinko Simulation (Japan),SLPS-91495
"FIFA - Die WM-Qualifikation 98 (Germany) (En,Fr,De,Es,Nl,Sv)",SLES-00916
"FIFA - En Route pour la Coupe du Monde 98 (France) (En,Fr,De,Es,Nl,Sv)",SLES-00915
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,Nl,Sv)",SLES-00914
FIFA - Road to World Cup 98 (Italy),SLES-00917
FIFA - Road to World Cup 98 (Japan),SLPS-01383
FIFA - Road to World Cup 98 (Japan) (Demo),SLPM-80236
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,Nl,Sv)",SLUS-00520
"FIFA - Rumbo al Mundial 98 (Spain) (En,Fr,De,Es,Nl,Sv)",SLES-00918
FIFA 2000 - Europe League Soccer (Japan),SLPS-02675
"FIFA 2000 - Major League Soccer (USA) (En,De,Es,Nl,Sv)",SLUS-00994
"FIFA 2000 (Europe) (En,De,Es,Nl,Sv)",SLES-02315
"FIFA 2000 (Europe) (En,De,Es,Nl,Sv) (Rev 1)",SLES-02315
FIFA 2000 (France),SLES-02316
"FIFA 2000 (Germany) (En,De,Es,Nl,Sv)",SLES-02317
FIFA 2000 (Greece),SLES-02320
FIFA 2000 (Israel),SLES-02321
FIFA 2000 (Italy),SLES-02319
"FIFA 2000 (Spain) (En,De,Es,Nl,Sv)",SLES-02318
"FIFA 2001 (Europe) (En,De,Es,Nl,Sv)",SLES-03140
FIFA 2001 (France),SLES-03141
"FIFA 2001 (Germany) (En,De,Es,Nl,Sv)",SLES-03142
FIFA 2001 (Greece),SLES-03143
FIFA 2001 (Israel),SLES-03144
FIFA 2001 (Italy),SLES-03145
"FIFA 2001 (Spain) (En,De,Es,Nl,Sv)",SLES-03146
"FIFA 2001 (USA) (En,De,Es,Nl,Sv)",SLUS-01262
"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",SLES-00504
"FIFA 97 (France) (En,Fr,De,Es,It,Sv)",SLES-00505
"FIFA 97 (Germany) (En,Fr,De,Es,It,Sv)",SLES-00506
FIFA 99 - Europe League Soccer (Japan),SLPS-02309
"FIFA 99 (Europe) (En,Fr,De,Es,Nl,Sv)",SLES-01584
"FIFA 99 (France) (En,Fr,De,Es,Nl,Sv)",SLES-01585
"FIFA 99 (Germany) (En,Fr,De,Es,Nl,Sv)",SLES-01586
FIFA 99 (Italy),SLES-01587
"FIFA 99 (Spain) (En,Fr,De,Es,Nl,Sv)",SLES-01588
"FIFA 99 (USA) (En,Fr,De,Es,Nl,Sv)",SLUS-00782
"FIFA Football 2002 (Europe) (En,De,Es,Nl,Sv)",SLES-03666
FIFA Football 2002 (France),SLES-03668
"FIFA Football 2002 (Germany) (En,De,Es,Nl,Sv)",SLES-03669
FIFA Football 2002 (Italy),SLES-03671
"FIFA Football 2002 (Spain) (En,De,Es,Nl,Sv)",SLES-03672
"FIFA Football 2003 (Europe) (En,Nl,Sv)",SLES-03977
FIFA Football 2003 (France),SLES-03978
FIFA Football 2003 (Germany),SLES-03979
FIFA Football 2003 (Italy),SLES-03980
FIFA Football 2003 (Spain),SLES-03981
"FIFA Football 2004 (Europe) (En,Nl,Sv)",SLES-04115
FIFA Football 2004 (France),SLES-04116
FIFA Football 2004 (Germany),SLES-04117
FIFA Football 2004 (Italy),SLES-04119
FIFA Football 2004 (Spain),SLES-04118
"FIFA Football 2005 (Europe) (En,Nl)",SLES-04165
FIFA Football 2005 (France),SLES-04166
FIFA Football 2005 (Germany),SLES-04168
FIFA Football 2005 (Italy),SLES-04167
FIFA Football 2005 (Spain),SLES-04169
"FIFA Soccer 2002 (USA) (En,Es)",SLUS-01408
"FIFA Soccer 2003 (USA) (En,Es)",SLUS-01504
"FIFA Soccer 2004 (USA) (En,Es)",SLUS-01578
"FIFA Soccer 2005 (USA) (En,Es)",SLUS-01585
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)",SLES-00116
"FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv)",SLUS-00038
FIFA Soccer 97 (Japan),SLPS-00878
"FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv)",SLUS-00269
FIFA World Cup 98 - France 98 Soushuu-hen (Japan),SLPS-01719
"Fifth Element, The (Europe) (En,Fr,De,Es,It)",SCES-01285
"Fifth Element, The (Japan)",SLPS-01555
"Fifth Element, The (USA)",SLUS-00711
Fighter Maker (Europe),SLES-02515
Fighter Maker (USA),SLUS-00641
Fighter Maker (USA) (Beta) (1999-10-07),SLUS-00641
Fighters' Impact (Japan),SLPS-00822
Fighting Eyes (Japan),SLPS-01313
"Fighting Force & Tomb Raider II (Germany) (En,Fr,De) (Demo)",SLED-01098
"Fighting Force (Europe) (En,Fr,De)",SLES-00731
"Fighting Force (Europe) (En,Fr,De) (Demo)",SLED-00881
"Fighting Force (Europe) (En,Fr,De) (EDC)",SLES-00731
Fighting Force (USA),SLUS-00433
Fighting Force (USA) (Rev 1),SLUS-00433
Fighting Force (USA) (Rev 1) (EDC),SLUS-00433
Fighting Force (USA) (Rev 2),SLUS-00433
Fighting Force 2 (Europe) (Demo),SLED-02314
"Fighting Force 2 (Europe) (En,Fr)",SLES-02233
"Fighting Force 2 (Europe) (Es,It)",SLES-02237
Fighting Force 2 (Germany),SLES-02235
Fighting Force 2 (USA),SLUS-00934
Fighting Illusion - K-1 GP 2000 (Japan),SLPS-02985
Fighting Illusion - K-1 Grand Prix (Japan),SLPS-00340
Fighting Illusion - K-1 Grand Prix '98 (Japan),SLPS-01696
Fighting Illusion - K-1 Grand Prix '98 (Japan) (Demo),SLPM-80341
Fighting Illusion - K-1 Revenge (Japan),SLPS-00978
Fighting Illusion - K-1 Revenge (Japan),SLPS-91090
Fighting Illusion V - K-1 Grand Prix '99 (Japan),SLPS-02304
Fighting Network Rings (Japan),SLPS-00631
Final Doom (Europe),SLES-00487
Final Doom (Japan),SLPS-00727
Final Doom (USA),SLUS-00331
Final Fantasy (Japan),SLPS-03430
Final Fantasy (Japan) (Premium Package),SLPS-03500
"Final Fantasy Anthology - European Edition - Final Fantasy IV (Europe, Australia)",SCES-03840
"Final Fantasy Anthology - European Edition - Final Fantasy V (Europe, Australia)",SCES-13840
Final Fantasy Anthology - Final Fantasy V (USA),SLUS-00879
Final Fantasy Anthology - Final Fantasy VI (USA),SLUS-00900
Final Fantasy Chronicles - Chrono Trigger (USA),SLUS-01363
Final Fantasy Chronicles - Chrono Trigger (USA) (Beta) (2001-05-19),SLUS-01363
Final Fantasy Chronicles - Chrono Trigger (USA) (Rev 1),SLUS-01363
Final Fantasy Chronicles - Final Fantasy IV (USA),SLUS-01360
Final Fantasy Chronicles - Final Fantasy IV (USA) (Rev 1),SLUS-01360
Final Fantasy Extra Collection (Japan),SLPM-80073
Final Fantasy II (Japan),SLPS-03502
Final Fantasy II (Japan) (Premium Package),SLPS-03501
Final Fantasy IV (Japan),SLPM-86028
Final Fantasy IV (Japan),SLPS-01948
Final Fantasy IX (Europe) (Disc 1),SLES-02965
Final Fantasy IX (Europe) (Disc 2),SLES-12965
Final Fantasy IX (Europe) (Disc 3),SLES-22965
Final Fantasy IX (Europe) (Disc 4),SLES-32965
Final Fantasy IX (France) (Disc 1),SLES-02966
Final Fantasy IX (France) (Disc 2),SLES-12966
Final Fantasy IX (France) (Disc 3),SLES-22966
Final Fantasy IX (France) (Disc 4),SLES-32966
Final Fantasy IX (Germany) (Disc 1),SLES-02967
Final Fantasy IX (Germany) (Disc 2),SLES-12967
Final Fantasy IX (Germany) (Disc 3),SLES-22967
Final Fantasy IX (Germany) (Disc 4),SLES-32967
Final Fantasy IX (Italy) (Disc 1),SLES-02968
Final Fantasy IX (Italy) (Disc 2),SLES-12968
Final Fantasy IX (Italy) (Disc 3),SLES-22968
Final Fantasy IX (Italy) (Disc 4),SLES-32968
"Final Fantasy IX (Japan, Asia) (Disc 1)",SLPS-02000
"Final Fantasy IX (Japan, Asia) (Disc 1)",SCPS-45500
"Final Fantasy IX (Japan, Asia) (Disc 1)",SLPM-87388
"Final Fantasy IX (Japan, Asia) (Disc 2)",SLPS-02001
"Final Fantasy IX (Japan, Asia) (Disc 2)",SCPS-45501
"Final Fantasy IX (Japan, Asia) (Disc 2)",SLPM-87389
"Final Fantasy IX (Japan, Asia) (Disc 3)",SLPS-02002
"Final Fantasy IX (Japan, Asia) (Disc 3)",SCPS-45502
"Final Fantasy IX (Japan, Asia) (Disc 3)",SLPM-87390
"Final Fantasy IX (Japan, Asia) (Disc 4)",SLPS-02003
"Final Fantasy IX (Japan, Asia) (Disc 4)",SCPS-45503
"Final Fantasy IX (Japan, Asia) (Disc 4)",SLPM-87391
Final Fantasy IX (Spain) (Disc 1),SLES-02969
Final Fantasy IX (Spain) (Disc 2),SLES-12969
Final Fantasy IX (Spain) (Disc 3),SLES-22969
Final Fantasy IX (Spain) (Disc 4),SLES-32969
Final Fantasy IX (USA) (Disc 1),SLUS-01251
Final Fantasy IX (USA) (Disc 2),SLUS-01295
Final Fantasy IX (USA) (Disc 3),SLUS-01296
Final Fantasy IX (USA) (Disc 4),SLUS-01297
Final Fantasy Origins - Final Fantasy (Europe),SLES-04034
Final Fantasy Origins - Final Fantasy II (Europe),SLES-14034
Final Fantasy Origins (USA),SLUS-01541
Final Fantasy Origins (USA) (Rev 1),SLUS-01541
Final Fantasy Tactics (Japan),SLPS-00770
Final Fantasy Tactics (Japan) (Rev 1),SLPS-00770
Final Fantasy Tactics (Japan) (Rev 1),SLPM-87392
Final Fantasy Tactics (Japan) (Rev 1),SLPS-02768
Final Fantasy Tactics (USA),SCUS-94221
"Final Fantasy V (Japan, Asia)",SLPM-86081
"Final Fantasy V (Japan, Asia)",SCPS-45214
"Final Fantasy V (Japan, Asia)",SLPS-01949
"Final Fantasy VI (Europe, Australia)",SCES-03828
"Final Fantasy VI (Japan, Asia)",SLPM-86198
"Final Fantasy VI (Japan, Asia)",SCPS-45387
"Final Fantasy VI (Japan, Asia)",SLPS-01950
Final Fantasy VII (Europe) (Disc 1),SCES-00867
Final Fantasy VII (Europe) (Disc 2),SCES-10867
Final Fantasy VII (Europe) (Disc 3),SCES-20867
Final Fantasy VII (France) (Disc 1),SCES-00868
Final Fantasy VII (France) (Disc 2),SCES-10868
Final Fantasy VII (France) (Disc 3),SCES-20868
Final Fantasy VII (Germany) (Disc 1),SCES-00869
Final Fantasy VII (Germany) (Disc 2),SCES-10869
Final Fantasy VII (Germany) (Disc 3),SCES-20869
Final Fantasy VII (Japan) (Disc 1),SLPS-00700
Final Fantasy VII (Japan) (Disc 2),SLPS-00701
Final Fantasy VII (Japan) (Disc 3),SLPS-00702
Final Fantasy VII (Spain) (Disc 1),SCES-00900
Final Fantasy VII (Spain) (Disc 1) (Rev 1),SCES-00900
Final Fantasy VII (Spain) (Disc 2),SCES-10900
Final Fantasy VII (Spain) (Disc 2) (Rev 1),SCES-10900
Final Fantasy VII (Spain) (Disc 3),SCES-20900
Final Fantasy VII (Spain) (Disc 3) (Rev 1),SCES-20900
Final Fantasy VII (USA) (Disc 1),SCUS-94163
Final Fantasy VII (USA) (Disc 2),SCUS-94163
Final Fantasy VII (USA) (Disc 3),SCUS-94163
Final Fantasy VII (USA) (Interactive Sampler CD),SCUS-94961
Final Fantasy VII (USA) (Square Soft on PlayStation Previews),SCUS-94179
Final Fantasy VII International (Japan) (Disc 1),SLPS-01057
Final Fantasy VII International (Japan) (Disc 1),SLPM-84020
Final Fantasy VII International (Japan) (Disc 1),SLPM-87380
Final Fantasy VII International (Japan) (Disc 2),SLPS-01058
Final Fantasy VII International (Japan) (Disc 2),SLPM-84021
Final Fantasy VII International (Japan) (Disc 2),SLPM-87381
Final Fantasy VII International (Japan) (Disc 3),SLPS-01059
Final Fantasy VII International (Japan) (Disc 3),SLPM-84022
Final Fantasy VII International (Japan) (Disc 3),SLPM-87382
Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),SLPS-01060
Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),SLPM-87383
Final Fantasy VIII (Europe) (Demo 1),SCED-02062
Final Fantasy VIII (Europe) (Demo 2),SLED-02258
"Final Fantasy VIII (Europe, Australia) (Disc 1)",SLES-02080
"Final Fantasy VIII (Europe, Australia) (Disc 2)",SLES-12080
"Final Fantasy VIII (Europe, Australia) (Disc 3)",SLES-22080
"Final Fantasy VIII (Europe, Australia) (Disc 4)",SLES-32080
Final Fantasy VIII (France) (Demo),SLED-02259
Final Fantasy VIII (France) (Disc 1),SLES-02081
Final Fantasy VIII (France) (Disc 2),SLES-12081
Final Fantasy VIII (France) (Disc 3),SLES-22081
Final Fantasy VIII (France) (Disc 4),SLES-32081
Final Fantasy VIII (Germany) (Disc 1),SLES-02082
Final Fantasy VIII (Germany) (Disc 2),SLES-12082
Final Fantasy VIII (Germany) (Disc 3),SLES-22082
Final Fantasy VIII (Germany) (Disc 4),SLES-32082
Final Fantasy VIII (Italy) (Disc 1),SLES-02083
Final Fantasy VIII (Italy) (Disc 2),SLES-12083
Final Fantasy VIII (Italy) (Disc 3),SLES-22083
Final Fantasy VIII (Italy) (Disc 4),SLES-32083
Final Fantasy VIII (Japan) (Square's Preview Extra) (Demo),SLPM-80269
"Final Fantasy VIII (Japan, Asia) (Disc 1)",SLPS-01880
"Final Fantasy VIII (Japan, Asia) (Disc 1)",SCPS-45375
"Final Fantasy VIII (Japan, Asia) (Disc 1)",SLPM-87384
"Final Fantasy VIII (Japan, Asia) (Disc 2)",SLPS-01881
"Final Fantasy VIII (Japan, Asia) (Disc 2)",SCPS-45376
"Final Fantasy VIII (Japan, Asia) (Disc 2)",SLPM-87385
"Final Fantasy VIII (Japan, Asia) (Disc 3)",SLPS-01882
"Final Fantasy VIII (Japan, Asia) (Disc 3)",SCPS-45377
"Final Fantasy VIII (Japan, Asia) (Disc 3)",SLPM-87386
"Final Fantasy VIII (Japan, Asia) (Disc 4)",SLPS-01883
"Final Fantasy VIII (Japan, Asia) (Disc 4)",SCPS-45378
"Final Fantasy VIII (Japan, Asia) (Disc 4)",SLPM-87387
Final Fantasy VIII (Spain) (Demo),SLED-02262
Final Fantasy VIII (Spain) (Disc 1),SLES-02084
Final Fantasy VIII (Spain) (Disc 2),SLES-12084
Final Fantasy VIII (Spain) (Disc 3),SLES-22084
Final Fantasy VIII (Spain) (Disc 4),SLES-32084
Final Fantasy VIII (USA) (Disc 1),SLUS-00892
Final Fantasy VIII (USA) (Disc 2),SLUS-00908
Final Fantasy VIII (USA) (Disc 3),SLUS-00909
Final Fantasy VIII (USA) (Disc 4),SLUS-00910
Final Round (Japan),SLPS-01266
"Final Round, The (USA)",SLUS-00064
Finger Flashing (Japan),SLPS-02158
Fire Panic - Mack no Rescue Daisakusen (Japan),SCPS-10055
Fire Pro Wrestling - Iron Slam '96 (Japan),SLPS-00277
Fire Pro Wrestling G (Japan),SLPS-02065
Fire Pro Wrestling G (Japan) (Spike Library),SLPS-02817
Fire Woman Matoigumi (Japan),SLPS-01315
"Firebugs (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",SCES-03884
"Firemen 2, The - Pete & Danny (Japan)",SLPS-00148
"Firemen 2, The - Pete & Danny (Japan)",SLPS-02090
"Firestorm - Thunderhawk 2 (Europe) (En,Fr)",SLES-00145
"Firestorm - Thunderhawk 2 (Europe) (En,Fr)",SLES-00145
Firestorm - Thunderhawk 2 (Germany),SLES-00144
Firestorm - Thunderhawk 2 (Germany),SLES-00144
Firo & Klawd (Europe),SLES-00094
Firo & Klawd (France),SLES-00252
Firo & Klawd (Germany),SLES-00253
Firo & Klawd (Japan),SLPS-00803
Firo & Klawd (Spain),SLES-00254
First Kiss Story (Japan) (Disc 1),SLPS-01708
First Kiss Story (Japan) (Disc 2),SLPS-01709
First Queen IV - Varcia Senki (Japan),SLPS-00604
Fish Eyes (Japan),SLPS-00463
Fish Eyes (Japan),SLPS-91040
Fish Eyes (Japan),SLPS-91458
Fish Eyes II (Japan),SLPS-02383
Fish Eyes II (Japan) (Demo),SLPM-80523
Fish On! Bass (Japan),SLPS-02288
Fisherman's Bait - A Bass Challenge (USA),SLUS-00802
Fisherman's Bait - Bass Challenge (Europe),SLES-02085
Fisherman's Bait 2 - Big Ol' Bass (Europe),SLES-02596
Fisherman's Bait 2 - Big Ol' Bass (USA),SLUS-00999
Fisherman's Bait 3 (Europe),SLES-03295
Fisher's Road (Japan),SLPS-01943
Fishing Freaks - BassRise (Japan),SLPS-01931
Fishing Freaks - BassRise (Japan) (Demo),SLPM-80374
Fishing Freaks - BassRise (Japan) (Demo),SLPM-80404
Fishing Freaks - BassRise (Japan) (Doukon Pack),SLPS-01930
Fishing Freaks - BassRise Plus (Japan),SLPS-02572
Fishing Koushien II (Japan),SLPS-00749
Fist (Japan),SLPS-00538
Flamberge no Seirei (Japan),SLPS-02719
"Flintstones, Die - Bedrock Bowling (Germany)",SLES-03320
"Flintstones, The - Bedrock Bowling (Europe)",SLES-02345
"Flintstones, The - Bedrock Bowling (USA)",SLUS-00931
Floating Runner - 7-tsu no Suishou no Monogatari (Japan),SLPS-00147
Floating Runner - Quest for the 7 Crystals (USA),SLUS-00231
Floating Runner (Europe),SLES-00453
Fluid (Europe),SCES-00985
Fluid (Germany) (Demo),SCED-01572
Flying Squadron (Europe),SLES-04156
Folles Poursuites (France),SLES-03546
Football Madness (Europe),SLES-04047
Football Manager Campionato 2001 (Italy),SLES-02978
Football Manager Campionato 2002 (Italy),SLES-03606
Football Special (Europe),SCED-01387
Ford Racing (Europe),SLES-03276
Ford Racing (USA),SLUS-01301
"Ford Truck Mania (Europe) (En,Fr,De,Es)",SLES-04109
Ford Truck Mania (USA),SLUS-01540
Forget Me Not - Palette (Japan),SLPS-03191
Formation Soccer '97 - The Road to France (Japan),SLPS-00762
Formation Soccer '98 - Ganbare Nippon in France (Japan),SLPS-01419
Formation Soccer '98 (Japan),SLPM-86640
"Formula 1 (Europe) (En,Fr,De,Es,It)",SLES-00298
"Formula 1 (Europe) (En,Fr,De,Es,It) (Rev 1)",SLES-00298
Formula 1 (Japan),SIPS-60011
Formula 1 (USA),SCUS-94353
Formula 1 (USA) (Rev 1),SCUS-94353
"Formula 1 97 (Europe) (En,Fr,De,Es,It)",SLES-00859
"Formula 1 97 (Europe) (En,Fr,De,Es,It) (Rev 1)",SLES-00859
"Formula 1 97 (Japan) (En,Ja,Fr,De,Es,It)",SIPS-60023
"Formula 1 97 (Japan) (En,Ja,Fr,De,Es,It) (Rev 1)",SIPS-60023
"Formula 1 98 (Europe) (En,Fr,De,Es,It,Fi)",SLES-01421
"Formula 1 98 (USA) (En,Fr,De,Es,It,Fi)",SLUS-00744
"Formula 1 Championship Edition (USA) (En,Fr,De,Es,It)",SLUS-00546
Formula Circus (Japan),SLPS-00358
Formula Circus (Japan) (Demo),SLPM-80097
Formula GP (Europe),SLES-03994
Formula Grand Prix - Team Un'ei Simulation 2 - 1997-nenban (Japan),SLPS-01154
Formula Karts - Special Edition (Europe) (Demo),SLED-00447
"Formula Karts - Special Edition (Europe) (En,De,Es,It)",SLES-00726
"Formula Nippon (Europe) (En,Es,It)",SLES-02526
"Formula Nippon (Europe) (Fr,De)",SLES-02527
Formula Nippon '99 - Racing Driver ni Narou! (Japan),SLPS-02259
"Formula One (Europe) (En,Fr,De,Es,It) (Demo)",SLED-00491
"Formula One 2000 (Europe) (En,Fi)",SCES-02777
"Formula One 2000 (Europe) (Es,It)",SCES-02779
"Formula One 2000 (Europe) (Fr,De)",SCES-02778
Formula One 2000 (USA),SLUS-01134
"Formula One 2001 (Europe) (En,Fi)",SCES-03404
"Formula One 2001 (Europe) (En,Fi) (Beta) (2001-03-21)",SCES-03404
"Formula One 2001 (Europe) (Es,It)",SCES-03424
"Formula One 2001 (Europe) (Fr,De)",SCES-03423
Formula One 2001 (Russia),SCES-03524
"Formula One 99 (Europe) (En,Es,Fi)",SCES-02222
"Formula One 99 (Europe) (En,Fr,De,It)",SCES-01979
"Formula One 99 (Europe) (En,Fr,De,It) (Beta) (1999-09-09)",SCED-01979
Formula One 99 (Japan),SCPS-10101
"Formula One 99 (USA, Canada) (En,Fr,Es)",SLUS-00870
"Formula One Arcade (Europe) (En,Fr,De,Es,It)",SCES-03886
Forsaken (Europe),SLES-00745
Forsaken (Europe) (Demo),SLED-01263
Forsaken (France),SLES-01086
Forsaken (Germany),SLES-01087
Forsaken (Italy),SLES-01088
Forsaken (Japan),SLPM-86307
Forsaken (Spain),SLES-01089
Forsaken (USA),SLUS-00458
Fox Hunt (USA) (Disc 1),SLUS-00101
Fox Hunt (USA) (Disc 2),SLUS-00175
Fox Hunt (USA) (Disc 3),SLUS-00176
Fox Junction (Japan),SLPS-01355
Fox Sports Golf '99 (USA),SLUS-00636
"Fox Sports Soccer '99 (USA) (En,Es)",SLUS-00635
FoxKids.com - Micro Maniacs Racing (USA),SLUS-01129
Frank Thomas Big Hurt Baseball (Europe),SLES-00100
Frank Thomas Big Hurt Baseball (Japan),SLPS-00453
Frank Thomas Big Hurt Baseball (USA),SLUS-00010
"Frankreich 98 - Die Fussball-WM (Germany) (En,Fr,De,Es,Nl,Sv,Da)",SLES-01267
Free Spin Demo Disc! (Europe),SCED-04009
Free Spin Demo Disc! Voellig Gratis Demo Disc! (Germany),SCED-04012
Free Talk Studio - Mari no Kimamana Oshaberi (Japan),SLPS-00985
Freestyle Boardin' '99 (USA),SLUS-00767
Freestyle Motocross - McGrath vs. Pastrana (Europe),SLES-02820
Freestyle Motocross - McGrath vs. Pastrana (USA),SLUS-00122
Freestyle Scooter (Europe),SLES-03363
Frenzy! (Europe),SLES-00784
"Frogger (Europe) (En,Fr,De,Es,It)",SLES-00704
Frogger (Japan),SLPS-01399
Frogger (Japan) (Demo),SLPM-80241
Frogger (USA),SLUS-00506
"Frogger 2 - Swampy's Revenge (Europe) (En,Fr,De,It)",SLES-02853
Frogger 2 - Swampy's Revenge (USA),SLUS-01172
From Software 1998 Summer Preview Movies (Japan),SLPM-80268
From TV Animation One Piece - Grand Battle! (Japan),SLPS-03164
From TV Animation One Piece - Grand Battle! 2 (Japan),SLPS-03408
From TV Animation One Piece - Oceans of Dreams! (Japan),SLPS-03550
From TV Animation One Piece - Tobidase Kaizokudan! (Japan),SLPS-03252
From TV Animation One Piece - Tobidase Kaizokudan! (Japan) (PocketStation Doukon),SLPS-03251
Front Mission 1st (Japan),SLPM-87317
Front Mission 1st (Japan) (Front Mission History),SLPM-87330
Front Mission 2 (Japan) (Front Mission History),SLPM-87331
Front Mission 2 (Japan) (Front Mission History),SLPM-87397
"Front Mission 2 (Japan, Asia)",SLPS-01000
"Front Mission 2 (Japan, Asia)",SCPS-45116
Front Mission 3 (Europe),SLES-02423
Front Mission 3 (Europe) (Beta) (2000-06-16),SLES-02423
Front Mission 3 (Japan),SLPS-02222
Front Mission 3 (Japan),SLPM-87332
Front Mission 3 (Japan),SLPM-87399
Front Mission 3 (Japan) (Demo),SLPM-80467
Front Mission 3 (USA),SLUS-01011
Front Mission Alternative (Japan),SLPS-00953
Front Mission Alternative (Japan),SLPM-87398
Fun! Fun! Pingu - Youkoso! Nankyoku e (Japan),SLPS-02307
Fun! Fun! Pingu - Youkoso! Nankyoku e (Japan) (Demo),SLPM-80486
Fun! Fun! Pingu - Youkoso! Nankyoku e (Japan) (Shokai Suuryou Genteiban),SLPS-02306
Funky Boxers (Japan),SLPS-03496
Furimukeba Tonari ni (Japan),SLPM-86808
Fushigi Deka (Japan),SLPM-86642
Fushigi na Data Disc (Japan),SLPS-01235
"Fushigi na Data Disc 2 (Japan, Asia)",SCPS-45372
"Fushigi na Data Disc 2 (Japan, Asia)",SLPS-01772
Fushigi no Kuni no Angelique (Japan),SLPS-00730
Fushigi no Kuni no Angelique (Japan),SLPM-86507
Fussball Live (Germany),SCES-01702
Fussball Live 2 (Germany),SCES-03074
Fussball Live 2 (Germany) (Demo),SCED-03203
Fussball Manager 2001 (Germany),SLES-03062
Fussball Spezial 01 (Germany),SCED-01307
"Future Cop - L.A.P.D. (Europe) (En,Fr)",SLES-01449
"Future Cop - L.A.P.D. (Europe) (En,Fr) (Demo)",SLED-01509
Future Cop - L.A.P.D. (Germany),SLES-01482
Future Cop - L.A.P.D. (USA),SLUS-00739
Future Cop - L.A.P.D. (USA) (Demo),SLUS-90034
Future GPX Cyber Formula - Aratanaru Chousensha (Japan) (Disc 1),SLPS-03426
Future GPX Cyber Formula - Aratanaru Chousensha (Japan) (Disc 1),SLPS-01958
