redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
Amnesia Later (Japan),ULJM 06043, ULJM 06044,,,
Anata o Yurusanai (Japan),ULJM 05279, ULJM 05351,,,
Angelique - Maren no Rokukishi (Japan),ULJM 05985, ULJM 05986,,,
Angelique Retour (Japan),ULJM 06402,,,,
Anohana - Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai. (Japan),ULJM 06115,,,,
Another Century's Episode Portable (Japan),ULJS 00322,,,,
Ao no Exorcist - Genkoku no Labyrinth (Japan),ULJS 00423, ULJS 00424,,,
"Ape Academy (Europe) (En,Fr,De,Es,It)",UCES-00010,,,,
"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",UCES-00302,,,,
"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Beta) (2006-06-19)",UCET-00445/0.01,,,,
Ape Escape - On the Loose (USA),UCUS-98609,,,,
"Ape Escape (Europe) (En,Fr,De,Es,It)",UCES-00045,,,,
Ape Escape Academy (USA),UCUS-98619,,,,
Ape Escape Academy (USA) (Demo),UCUS 98629,,,,
Arcana Famiglia - Festa Regalo! (Japan),ULJM 06187,,,,
Arcana Famiglia - La Storia della Arcana Famiglia (Japan),ULJM 05956,,,,
Arcana Famiglia - Vascello Phantasma no Majutsushi (Japan),ULJM 06032,,,,
Arcana Famiglia 2 - La Storia della Arcana Famiglia (Japan),ULJM 06291,,,,
"Archer Maclean's Mercury (Europe, Australia) (En,Fr,De,Es,It)",ULES-00011,,,,
Archer Maclean's Mercury (USA),ULUS 10017,,,,
Arcobaleno! Portable (Japan),ULJM 05609,,,,
Are You Alice (Japan),ULJM-05848,,,,
"Armored Core - Formula Front (Japan, Asia)",UCAS 40004, ULJS 00003,,,
Armored Core - Formula Front (Korea),ULKS-46003,,,,
Armored Core - Formula Front Extreme Battle (Europe),ULES-00219,,,,
Armored Core - Formula Front Extreme Battle (USA),ULUS-10034,,,,
"Armored Core - Formula Front International (Japan) (En,Ja)",ULJS-19001,,,,
Armored Core - Last Raven Portable (Japan),ULJM 05611,,,,
Armored Core - Silent Line Portable (Japan),ULJM 05552,,,,
"Armored Core 3 Portable (Japan, Asia)",UCAS 40268, ULJM 05492,,,
Arms' Heart (Japan),ULJM 05786,,,,
"Army of Two - The 40th Day (Europe) (En,Fr,De,Es,It)",ULES-01381,,,,
Army of Two - The 40th Day (USA),ULUS-10472,,,,
"Arnaqueur, L' (France)",ULES-00510,,,,
"Arthur and the Invisibles (USA) (En,Fr,Es) (Proto) (2007-03-19)",ULUS-10231,,,,
"Arthur and the Minimoys (Europe) (De,It)",ULES-00669,,,,
"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv)",ULES-00668,,,,
"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv) (Beta) (2007-01-17)",ULET-00435,,,,
Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan - McDonald's Ver. (Japan),ULJM 95002,,,,
Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan (Japan),ULJM 05122,,,,
"Asaki, Yumemishi (Japan)",ROSE 00004, ULJM 05870,,,
"Asphalt - Urban GT 2 (Europe) (En,Fr,De,Es,It)",ULES-00719,,,,
"Assassin's Creed - Bloodlines (Europe) (En,Fr,De,Es,It,Ru)",ULES-01367, ULES-01367/E,,,
"Assassin's Creed - Bloodlines (Japan) (En,Ja)",ULJM 05571, ULJM 05720,,,
Assassin's Creed - Bloodlines (Korea),ULKS 46231,,,,
"Assassin's Creed - Bloodlines (USA) (En,Fr,De,Es,It)",ULUS-10455,,,,
"Asterix & Obelix XXL 2 (Europe) (En,Fr,De,Es,It,Nl)",ULES-00527,,,,
Astonishia Story (Europe),ULES-00363,,,,
Astonishia Story (Korea),ULKS-46021,,,,
Astonishia Story (USA),ULUS-10083,,,,
Astonishia Story 2 (Korea),ULKS-46142,,,,
"Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)",ULES-01345,,,,
"Astro Boy - The Video Game (USA) (En,Fr,Es,It,Nl)",ULUS-10454,,,,
Atari Classics Evolved (USA),ULUS-10325,,,,
Atari Classics Evolved (USA) (Beta) (2007-09-28),ULUS-10325,,,,
"ATV Offroad Fury - Blazin' Trails (Europe) (En,Fr,De,Es,It)",ULES-00155,,,,
ATV Offroad Fury - Blazin' Trails (USA),UCUS-98603,,,,
"ATV Offroad Fury Pro (Europe) (En,Fr,De,Es,It,Pt,Pl,Ru,El)",UCES-00786/E,,,,
ATV Offroad Fury Pro (USA),UCUS-98648,,,,
ATV Offroad Fury Pro (USA) (Beta) (v0.30) (2006-09-04),UCUS-98648,,,,
ATV Offroad Fury Pro (USA) (Beta) (v1.00) (2007-01-31),UCUS-98648,,,,
ATV Offroad Fury Pro (USA) (Demo),UCUS 98681,,,,
Audition Portable (Korea),ULKS 46122,,,,
Autoescuela Aprueba Conmigo (Spain),ULES-01366,,,,
Ayakashibito - Gen'you Ibunroku Portable (Japan),ULJM 05426,,,,
Bakemonogatari Portable (Japan),ULJS 00507, ULJS 00508,,,
Bakudan Handan (Japan),ULJM 06099,,,,
"Bakugan - Defenders of the Core (Europe) (En,Fr,De,Es,It,Nl,Sv)",ULES-01466,,,,
