Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
Alien Trilogy (Japan) (Demo),ALIEN TRILOGY,T-8113G,V1.000,19960801,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-81
Alien Trilogy (USA),ALIEN TRILOGY,T-8113H,V1.000,19960720,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-81
All-Star Baseball '97 Featuring Frank Thomas (USA),ALLSTAR_BASEBALL_97,T-8150H,V1.000,19970502,CD-1/1,U,JT,SEGA SEGASATURN,SEGA TP T-81
"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",ALONE IN THE DARK JACK IS BACK,T-15101H,V1.100,19960212,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-151
Alone in the Dark - One-Eyed Jack's Revenge (USA),ALONE IN THE DARK ONE EYED JACK S REVENGE,T-29401H,V1.200,19960611,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-294
Alone in the Dark 2 (Japan),ALONE IN THE DARK 2 JACK IS BACK,T-10602G,V1.000,19951219,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-106
Amagi Shien (Japan),AMAGISHIEN,T-1513G,V1.001,19961227,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-15
America Oudan Ultra Quiz (Japan),AMERICA OUDAN ULTRA QUIZ,T-6004G,V1.020,19950918,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-60
"Amok (Europe) (En,Fr,De,Es,It,Nl)",AMOK,MK-81064,V1.003,19970108,CD-1/1,E,JT,SEGA SEGASATURN,SEGA ENTERPRISES
Amok (Japan),AMOK,T-7637G,V1.007,19970419,CD-1/1,JT,JT,SEGA SEGASATURN,SEGA TP T-76
Amok (USA),AMOK,MK-81064,V1.010,19961213,CD-1/1,U,JT,SEGA SEGASATURN,SEGA ENTERPRISES
Andretti Racing (Europe),EA_ANDRETTI,T-5020H,V1.000,19961125,CD-1/1,E,JS,SEGA SEGASATURN,SEGA TP T-50
Andretti Racing (France),EA_ANDRETTI,T-5020H,V1.000,19970318,CD-1/1,E,JS,SEGA SEGASATURN,SEGA TP T-50
Andretti Racing (Germany),EA_ANDRETTI,T-5020H,V1.000,19970226,CD-1/1,E,JS,SEGA SEGASATURN,SEGA TP T-50
Andretti Racing (USA),ANDRETTI RACING,T-5020H,V1.000,19961121,CD-1/1,U,JS,SEGA SEGASATURN,SEGA TP T-50
AnEarth Fantasy Stories - The First Volume (Japan),ANEARTH FANTASY STORIES,T-27801G,V1.004,19970213,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-278
Angel Graffiti S - Anata e no Profile (Japan),ANGEL GRAPHITY S,T-7308G,V1.003,19970604,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-73
Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan),ANGEL PARADISE01,T-2403G,V1.000,19960312,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-24
Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan),ANGEL PARADISE02,T-2405G,V1.000,19960730,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-24
Angelique Duet (Japan),ANGELIQUE DUET,T-7662G,V1.002,19980616,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Angelique Special (Japan),ANGELIQUE SPECIAL,T-7615G,V1.000,19960226,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Angelique Special 2 (Japan),ANGELIQUE SPECIAL 2,T-7627G,V1.200,19970226,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-76
Another Memories (Japan),ANOTHER MEMORIES,T-38001G,V1.002,19980430,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-380
Aqua-world - Umi Monogatari (Japan),AQUA WORLD FOR SATURN,T-30301G,V1.100,19960610,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-303
Aquazone - Desktop Life (Japan),AQUAZONE CD-ROM,GS-9023,V1.000,1996-06-,28 CD1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A),Angel Fish,T-24002G,V2.000,19961115,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A),Black Molly,T-24003G,V2.000,19961115,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A),Blue Emperor,T-24004G,V2.000,19961115,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-240
